game,scope,evidence_tier,source_type,source,claim,status,checked_utc
Sword/Shield,filesystem,A/B,code-backed mapping,https://github.com/kwsch/pkNX/blob/master/pkNX.Game/File/GameFileMapping.cs,"Models are mapped under bin/archive/pokemon for Sword/Shield.",confirmed,2026-09-15
Sword/Shield,container/model,B,reverse-engineering documentation,https://github.com/KillzXGaming/Switch-Toolbox/wiki/Pokemon-Let%27s-Go-%26-Sword-Shield-%3A-Model-Importing,"Pokemon models use .gfbmdl and are commonly stored in .gfpak archives.",confirmed,2026-09-15
Sword/Shield,texture,B,reverse-engineering documentation,https://github.com/KillzXGaming/Switch-Toolbox/wiki/Pokemon-Let%27s-Go-%26-Sword-Shield-%3A-Texture-Edits,"Pokemon textures are stored in .gfpak resources; documented texture containers include BNTX.",confirmed,2026-09-15
Sword/Shield,animation,B,maintained tooling,https://github.com/ChicoEevee/Pokemon-Switch-Model-Importer-Blender,"Maintained exporter identifies GFBANM as the animation family used by Let's Go and Sword/Shield.",confirmed,2026-09-15
Sword/Shield,battle-visual,D,official website,https://swordshield.pokemon.com/en-us/gameplay/pokemon-battle-stadium/,"Official in-game battle screenshots are suitable for battle-camera/appearance cross-checking but not raw-asset equivalence.",confirmed,2026-09-15
Sword/Shield,2D-icons,C,community preservation,https://github.com/msikma/pokesprite,"68x56 Gen VIII Pokemon box icons are a UI asset track and must not be treated as canonical battle sprites.",confirmed,2026-09-15
Brilliant Diamond/Shining Pearl,engine,B,reverse-engineering project,https://github.com/TeamLumi/opendpr,"BDSP reconstruction targets Unity 2019.4.27f1 and reconstructs resources through Unity/AssetRipper workflows.",confirmed,2026-09-15
Brilliant Diamond/Shining Pearl,pokemon-bundles,B,filesystem documentation,https://bdsp-modding.wiki/index.php/Visuals,"Pokemon resources are separated across common/battle/field bundles; common contains model/main animations/textures and battle contains battle rig/scripts and battle-exclusive animations.",confirmed,2026-09-15
Brilliant Diamond/Shining Pearl,normal-shiny-form-gender,B,filesystem documentation,https://bdsp-modding.wiki/index.php/Visuals,"Bundle naming documents form/gender distinctions and normal versus shiny texture variants.",confirmed,2026-09-15
Brilliant Diamond/Shining Pearl,bundle-path,B,tool documentation,https://github.com/BlupBlurp/BDSP-Texture-Recolor-Tool,"Pokemon bundle path cross-check: romfs/Data/StreamingAssets/AssetAssistant/Pokemon Database/pokemons/common.",confirmed,2026-09-15
Brilliant Diamond/Shining Pearl,battle-visual,D,official website,https://diamondpearl.pokemon.com/en-us/trainersguide/fundamentals/battling/,"Official battle captures can validate appearance/camera but are not raw model sources.",confirmed,2026-09-15
LEGENDS Arceus,filesystem,A/B,code-backed mapping,https://github.com/kwsch/pkNX/blob/master/pkNX.Game/File/GameFileMapping.cs,"Pokemon archive folder maps to bin/archive/pokemon; pokemon_info_list.bin and poke_resource_table.trpmcatalog are identified resource metadata.",confirmed,2026-09-15
LEGENDS Arceus,model-material,B,maintained tooling,https://github.com/ChicoEevee/Pokemon-Switch-Model-Importer-Blender,"Maintained tooling supports TRMDL-family models and distinguishes _rare.trmtr material loading for rare/shiny appearance.",confirmed,2026-09-15
LEGENDS Arceus,animation,B,maintained tooling,https://github.com/ChicoEevee/Pokemon-Switch-Model-Importer-Blender,"Maintained exporter identifies TRANM as the animation family used by Legends: Arceus and later titles.",confirmed,2026-09-15
LEGENDS Arceus,legacy-model-research,C,preservation tooling,https://github.com/SomeKitten/LegendsArceusBlenderScript,"Older PLA-specific Blender importer and prepared model-dump workflow provide a preservation cross-check, not automatic Tier-A provenance.",confirmed_with_limitations,2026-09-15
All Generation VIII,final-target,PROJECT,fixed contract,GEN3_PORTING_CONTRACT_KO.md,"Final acceptance requires 64x64 PNG plus source image, target palette, 4bpp, compressed binary, manifests, full SHA-256 chain, dedup, validation and reproducible scripts.",fixed,2026-09-15
