game,resource_layer,verified_structure,canonical_use,evidence_status,source_reference,notes
Sword/Shield,pokemon_archive,"romfs/bin/archive/pokemon",Primary Pokémon model archive root,CONFIRMED,"pkNX GameFileMapping.cs; Switch-Toolbox documentation","GameFileMapping explicitly comments Models bin\\archive\\pokemon."
Sword/Shield,pokemon_container,".gfpak",Primary per-Pokémon/model resource container,CONFIRMED,"Switch-Toolbox model documentation","Most models stored in GFPAK archives."
Sword/Shield,model,".gfbmdl",Primary mesh/model source,CONFIRMED,"Switch-Toolbox model documentation","Do not substitute 68x56 UI icon."
Sword/Shield,texture,"BNTX / textures within .gfpak",Primary true-color/material visual source,CONFIRMED,"Switch-Toolbox texture documentation","Exact per-Pokémon material/texture member naming remains inventory work."
Sword/Shield,animation,"GFBANM family",Primary animation source,CONFIRMED,"ChicoEevee Pokémon Switch Model Importer","Maintained exporter describes GFBANM as Let's Go + Sword/Shield animation format."
Sword/Shield,icon_to_archive_mapping,"bin/appli/icon_pokemon BNTX -> poke_icon_ prefix stripped -> first 7 characters -> pm<name>.gfpak",Inventory aid only,CONFIRMED,"Switch-Toolbox PokemonLoaderSwSh.cs","Useful for resolving resource identities; icon itself is not battle canonical source."
Sword/Shield,battle_camera_scale,"UNKNOWN",Needed for deterministic front/back reconstruction,OPEN,"pending code/data/capture research","Must not be guessed from opaque-bbox fitting."
Brilliant Diamond/Shining Pearl,engine,"Unity 2019.4.27f1",Asset interpretation/reconstruction context,CONFIRMED,"TeamLumi/opendpr","OpenDPR states this is the Unity version BDSP is built on."
Brilliant Diamond/Shining Pearl,pokemon_root,"romfs/Data/StreamingAssets/AssetAssistant/Pokemon Database/pokemons",Primary Pokémon AssetBundle namespace,CONFIRMED,"BDSPedia Visuals; BDSP Texture Recolor Tool","Case varies in community documentation; preserve exact path from actual dump when available."
Brilliant Diamond/Shining Pearl,common_bundle,"common/pm0XXX_XX and common/pm0XXX_XX_XX",Mesh/main animations/extra textures and principal texture variants,CONFIRMED,"BDSPedia Visuals","pm0XXX_XX identifies model/variant; pm0XXX_XX_00 normal texture; _01 shiny texture according to documentation."
Brilliant Diamond/Shining Pearl,battle_bundle,"battle/pm0XXX_XX_XX plus battle/animations",Battle rig/scripts and battle-exclusive animations,CONFIRMED,"BDSPedia Visuals","Battle master must use battle semantics; field resources are not substitutes."
Brilliant Diamond/Shining Pearl,field_bundle,"field/pm0XXX_XX_XX plus field/animations",Overworld rig/scripts/animations; auxiliary comparison only,CONFIRMED,"BDSPedia Visuals","Keep independent from battle master."
Brilliant Diamond/Shining Pearl,variant_semantics,"post-Dex variant index encodes forms and also gender-variant cases",Semantic form/gender inventory,CONFIRMED_WITH_LIMIT,"BDSPedia Visuals","Preserve raw resource variant index; do not force every index to mean form until mapped."
Brilliant Diamond/Shining Pearl,shiny,"suffix texture variant 00 regular / 01 shiny",Normal/shiny logical split,CONFIRMED,"BDSPedia Visuals","Geometry may be shared; logical shiny role remains explicit."
Brilliant Diamond/Shining Pearl,battle_camera_scale,"UNKNOWN",Needed for deterministic front/back reconstruction,OPEN,"pending code/data/capture research","Official battle captures may validate but do not replace raw parameter evidence."
LEGENDS Arceus,pokemon_archive_root,"bin/archive/pokemon",Archive/resource storage root,CONFIRMED,"pkNX GameFileMapping.cs","pkNX maps PokemonArchiveFolder here."
LEGENDS Arceus,pokemon_resource_list,"bin/appli/res_pokemon/list/pokemon_info_list.bin",Resource-list metadata,CONFIRMED,"pkNX GameFileMapping.cs","Keep hash/version identity when accessible."
LEGENDS Arceus,pokemon_resource_table,"bin/pokemon/table/poke_resource_table.trpmcatalog",Primary Species/Form/Gender -> resource mapping,CONFIRMED,"pkNX GameFileMapping.cs + PokeResourceTable schema","First-class table for model/material/config/animation/effect paths."
LEGENDS Arceus,resource_key,"Species:ushort + Form:ushort + Gender:ubyte",Semantic model resource key,CONFIRMED,"pkNX PokeResourceTable.fbs","ArceusType is an additional optional field for Arceus forms."
LEGENDS Arceus,default_resource_naming,"pm{species:0000}_{gender:00}_{form:00}",Resource naming pattern used by pkNX when adding entries,CONFIRMED_AS_TOOL_MAPPING,"pkNX PokeResourceTable.cs","Actual table entries remain authoritative; generated convention must not override observed entries."
LEGENDS Arceus,model_path,"bin/pokemon/pm####/pm####_##_##/mdl/pm####_##_##.trmdl",Primary model path convention,CONFIRMED_AS_TOOL_MAPPING,"pkNX PokeResourceTable.cs","Exact observed paths should be captured from the table when game data becomes accessible."
LEGENDS Arceus,material_table_path,"bin/pokemon/pm####/pm####_##_##/mdl/pm####_##_##.trmmt",Primary material-table path convention,CONFIRMED_AS_TOOL_MAPPING,"pkNX PokeResourceTable.cs","Do not confuse TRMMT table with individual TRMTR material files."
LEGENDS Arceus,config_path,"bin/pokemon/pm####/pm####_##_##/pm####_##_##.trpokecfg",Pokémon model/config metadata,CONFIRMED_AS_TOOL_MAPPING,"pkNX PokeResourceTable.cs","Candidate scale/behavior-related metadata must be researched rather than assumed."
LEGENDS Arceus,animation_catalog,"Animations:[Name,Path] in PokeResourceTable; default mapping uses anm/..._base.tracn",Animation catalog entry,CONFIRMED,"pkNX PokeResourceTable.fbs + .cs","TRACN catalogs/links animation resources; underlying animation format support includes TRANM."
LEGENDS Arceus,animation,"TRANM family",Primary motion data,CONFIRMED,"ChicoEevee Pokémon Switch Model Importer","Maintained exporter identifies TRANM for Legends: Arceus."
LEGENDS Arceus,model_family,"TRMDL with linked TRSKL/TRMTR/TRMSH-family resources",Primary model/mesh/skeleton/material source,CONFIRMED_BY_TOOLING,"ChicoEevee Pokémon Switch Model Importer","Exact linked member set varies by model and must be inventoried."
LEGENDS Arceus,shiny_material,"*_rare.trmtr handling in maintained importer",Rare/shiny material relationship,CONFIRMED_BY_TOOLING,"ChicoEevee PokemonSwitch.py","Need table/resource-level per-species verification before final output."
LEGENDS Arceus,effect_locator,"locators/..._eff.trskl default mapping",Effect locator/skeleton reference,CONFIRMED_AS_TOOL_MAPPING,"pkNX PokeResourceTable.cs","Preserve as source evidence; static sprite may not render all battle effects."
LEGENDS Arceus,alpha_state,"No separate semantic form assumed by project",Presentation-state inventory,PROJECT_RULE,"GEN3_PORTING_CONTRACT_KO.md + LOGICAL_SLOT_SCHEMA.md","Separate model/resource only if direct game data proves one."
LEGENDS Arceus,battle_camera_scale,"UNKNOWN",Needed for deterministic front/back reconstruction,OPEN,"pending code/data/capture research","Do not normalize species by opaque bounds."
