bank,sections
00,"NULL; rst0; rst8; rst10; rst18; rst20; rst28; rst30; rst38; vblank; lcd; timer; serial; joypad; Garbage Header; Header; Home; Garbage 0"
01,"bank1; Garbage 1"
02,"Audio Engine 1; Music 1; Play Battle Music (Audio Engine 1); Sound Effect Headers 1; Music Headers 1; Sound Effects 1; Garbage 2"
03,"bank3; Garbage 3"
04,"Move Names; Font Graphics; Start Menu; NPC Sprites 1; Battle Engine 1; Garbage 4"
05,"NPC Sprites 2; Battle Engine 2; Garbage 5"
06,"Maps 1; Play Time; Maps 2; Doors and Ledges; Garbage 6"
07,"Maps 3; Clear Save; Maps 4; Hidden Events 1; Garbage 7"
08,"Bill's PC; Audio Engine 2; Music 2; Low Health Alarm (Audio Engine 2); Sound Effect Headers 2; Music Headers 2; Sound Effects 2"
09,"Pics 1; Battle Engine 3; Garbage 9"
0A,"Pics 2; Battle Engine 4; Garbage 10"
0B,"Pics 3; Battle Engine 5; Garbage 11"
0C,"Pics 4; Battle Engine 6; Garbage 12"
0D,"Pics 5; Slot Machines"
0E,"Battle Engine 7; Garbage 14"
0F,"Battle Core; REV-0 Garbage 15"
10,"bank10; Garbage 16"
11,"Maps 5; Pokédex Rating; Maps 6; Hidden Events Core; Garbage 17"
12,"Maps 7; Screen Effects; Maps 8; Garbage 18"
13,"Trainer Pics; Maps 9; Predefs; Garbage 19"
14,"Maps 10; Battle Engine 8; Hidden Events 2; Garbage 20"
15,"Maps 11; Battle Engine 9; Diploma; Trainer Sight; Garbage 21"
16,"Maps 12; Battle Engine 10; Maps 13; Battle Engine 11; Garbage 22"
17,"Maps 14; Starter Dex; Maps 15; Hidden Events 3; Garbage 23"
18,"Maps 16; Cinnabar Lab Fossils; Maps 17; Hidden Events 4; Garbage 24"
19,"Tilesets 1; Garbage 25"
1A,"Version GFX; Tilesets 2; Battle Engine 12; REV-1 Garbage 26"
1B,"Tilesets 3"
1C,"bank1C; Garbage 28"
1D,"Maps 18; Itemfinder 1; Maps 19; Vending Machine; Maps 20; Itemfinder 2; Garbage 29"
1E,"bank1E; Garbage 30"
1F,"Audio Engine 3; Music 3; Sound Effect Headers 3; Music Headers 3; Sound Effects 3; Garbage 31"
