bank,offset_hex,size_bytes,sha1,crc32
0,0x000000,16384,b436a03004fb1c2e392a326c5042b679a316d0c6,B0E0C084
1,0x004000,16384,c40bb790434b1f5437964a948164a130ac6646c9,B359AA01
2,0x008000,16384,0edcae956a3aa2f30fddc6c523516e0df1a4f418,21391F5E
3,0x00C000,16384,5f8ef533815a7991138c4d88ed6b2c07cb7ded75,0495305C
4,0x010000,16384,776ee902c595909d9eefd201a1d299de14762bb0,45B56F6C
5,0x014000,16384,d59aeea37653547da9acd1c1bd23863f10ea11cb,23879A8B
6,0x018000,16384,1e38b00b19e1e675873db9c3db7e772e457474fa,F9A42558
7,0x01C000,16384,a29d9a3e5ab101a95042f977fb294ee0420a9785,FFEE60C9
8,0x020000,16384,7495a08bba3f295eb211f90b43ebeee22cf9b90b,C60FA0EF
9,0x024000,16384,a12bc6c2351d882ffc39758abdb94aada6da2c60,98165BD5
10,0x028000,16384,a745e5c94d0219284ad60ccc55bbc9e973989789,DBD640FD
11,0x02C000,16384,d84de2e3f27d55ec7ea57d08d7569d6463e208ba,ED0A93F5
12,0x030000,16384,dcf5777c6f8295847a8ff24f2512aa4376d83152,1053FA0F
13,0x034000,16384,c338b3d02afe377a4696b30a2da2d0a6462c7489,2BE1A7E4
14,0x038000,16384,746c758bb7155b26fc5be1cb30a9994c666682d3,6FBDD91A
15,0x03C000,16384,48343072820d84a90d3da1ad55394aa05406c9cc,501D6F34
16,0x040000,16384,c4d8fbaf7081bf8a2d892437aa4a7f05b82f51ff,10C0E8D3
17,0x044000,16384,008210acd0f5cbdf85b4700fa10195ccd387d246,51652D0A
18,0x048000,16384,450b61d85425b333788c012549308bf87907fd15,87C2E26B
19,0x04C000,16384,897256b6709e1a4da9daba92b6bde39ccfccd8c1,AB54D286
20,0x050000,16384,373e8165e18e1a98216e8aae29cfa83777e727df,B016DA08
21,0x054000,16384,ee6e486a033daebeb3117079a6be90e67a3dce0e,72F1722B
22,0x058000,16384,b68c3b267b4b0479714484bf01ed16f9cf0d0fab,36B5CDF8
23,0x05C000,16384,9e84eca2affd15fcb5eb49d6e7b64b07fddbc130,0EA96B2C
24,0x060000,16384,2d70a5fac7fcfc6ba8214a6a2bdb0be87de04501,760BE7D3
25,0x064000,16384,d43e74a33aa9894a86d866aee1ac2d7ae5c262e7,937D993B
26,0x068000,16384,ae989d2fc912108cb751045225c85f9f3c089481,342BFCA8
27,0x06C000,16384,3ddcb39724892fe67a6ec20bdade48ddebfac907,BACF2FF1
28,0x070000,16384,c10c9a85d646945f0430a1f03d15913c35ce934c,8081CD18
29,0x074000,16384,1cc0151417bae5170e3dd12626e4b4086060c84c,27169053
30,0x078000,16384,bf6b1fb6c181276a88248e5192a1134e15acae45,67F712BB
