file,family,bank_hex,bank_dec,rom_offset_start,layout_label,sha1,entropy_bits_per_byte,unique_bytes,zero_pct,ff_pct,longest_00_run,longest_ff_run,longest_uniform_run,longest_uniform_value,pointer_like_word_pct,western_textcode_pct
Pocket Monsters Gin (Japan).gbc,JP,08,8,0x020000,Clock Reset / Tileset Data 3 / Catch Tutorial / Egg Moves,562adc9641a469ececcce8b7c8428e31ce424bff,6.583655,256,12.2375,7.7881,272,496,496,0xFF,15.0513,30.3406
Pocket Monsters Gin (Japan).gbc,JP,09,9,0x024000,bank9,aee587e19b248c3af866cd1425fc1e602b3827f7,7.184699,256,6.4636,2.2583,126,5,126,0x00,15.1855,31.6406
Pocket Monsters Gin (Japan).gbc,JP,0A,10,0x028000,bankA,a3c2f809d454a7bb354b9e1496f6a471d89e3a4c,7.087601,252,3.4607,0.6775,55,2,55,0x00,15.0269,24.469
Pocket Monsters Gin (Japan).gbc,JP,0B,11,0x02C000,bankB,0c05f521e713c461b01bb43b084072ec5987c797,6.766523,254,6.0486,0.1038,907,4,907,0x00,14.9414,47.8394
Pocket Monsters Gin (Japan).gbc,JP,0C,12,0x030000,Tileset Data 4,dcf5777c6f8295847a8ff24f2512aa4376d83152,6.468876,256,13.6597,4.8096,639,32,639,0x00,11.9141,27.9297
Pocket Monsters Gin (Japan).gbc,JP,0D,13,0x034000,Effect Commands,2f5e3730b0c9dbfd279dba30426572bb59be7595,6.893532,256,1.0925,0.6042,19,2,19,0x00,16.5894,31.8176
Pocket Monsters Gin (Japan).gbc,JP,0E,14,0x038000,Enemy Trainers,49e6e3cfb58784bd8f18f008da3c383acd0ecfbc,7.329174,256,5.6824,3.1677,58,1,58,0x00,20.3247,38.6597
Pocket Monsters Gin (Japan).gbc,JP,0F,15,0x03C000,Battle Core,147cfdddae0ede4aab05aeae7fcebd2e26e5ac99,7.038553,256,2.3254,0.8728,102,2,102,0x00,14.502,32.6172
Pocket Monsters Gin (Japan).gbc,JP,10,16,0x040000,bank10 / Evolutions and Attacks,2dc761e4c55ea0245ee77a87d21ea7137a2541e4,7.305549,256,6.9824,1.886,12,3,12,0x00,16.5161,30.2002
Pocket Monsters Gin (Japan).gbc,JP,11,17,0x044000,bank11 / Pokedex Entries / Pokemon Mail,0c37b70f4e55e85a648e67c386cd44be667c41e8,6.805769,255,2.301,0.0854,147,1,147,0x00,15.9302,49.8047
Pocket Monsters Gin (Japan).gbc,JP,12,18,0x048000,Pic Pointers / Pics 1,b39c216d4498a7ad792bff8bff062b8dc47d3284,7.258782,256,3.8086,5.0476,2,6,6,0xFF,17.9565,39.27
