file,family,bank_hex,bank_dec,rom_offset_start,layout_label,sha1,entropy_bits_per_byte,unique_bytes,zero_pct,ff_pct,longest_00_run,longest_ff_run,longest_uniform_run,longest_uniform_value,pointer_like_word_pct,western_textcode_pct
Pokemon - Edicion Plata (Spain).gbc,INTL,2C,44,0x0B0000,(data),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pokemon - Edicion Plata (Spain).gbc,INTL,2D,45,0x0B4000,(data),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pokemon - Edicion Plata (Spain).gbc,INTL,2E,46,0x0B8000,Pics 14 / bank2E,f3e4487449ef374f05114d27093953cdcbc25389,6.097216,256,24.7681,3.2654,2237,8,2237,0x00,14.209,28.5461
Pokemon - Edicion Plata (Spain).gbc,INTL,2F,47,0x0BC000,(data),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pokemon - Edicion Plata (Spain).gbc,INTL,30,48,0x0C0000,Sprites 1,8655cd6b958c5d53da5dc7aed0aae9e6eb09b731,6.082367,209,4.5654,0.8972,64,8,64,0x00,11.9751,42.9016
Pokemon - Edicion Plata (Spain).gbc,INTL,31,49,0x0C4000,Sprites 2 / bank31,6356edcfb6b3aef247af5d03ac4e8ba261e5f72a,5.929515,255,18.4265,1.0254,802,3,802,0x00,12.7319,37.6282
Pokemon - Edicion Plata (Spain).gbc,INTL,32,50,0x0C8000,bank32 / The End,98df5d851a8f954a9f8000484fec41b9ea52fdf8,6.470887,256,12.6038,2.2156,600,5,600,0x00,21.1914,32.3181
Pokemon - Edicion Plata (Spain).gbc,INTL,33,51,0x0CC000,Move Animations / Extra Songs 2,e1e9c10433bf89813ad7357e4f97d8610948b603,6.517243,255,13.5681,0.9216,440,2,440,0x00,21.2158,19.8181
Pokemon - Edicion Plata (Spain).gbc,INTL,34,52,0x0D0000,(data),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pokemon - Edicion Plata (Spain).gbc,INTL,35,53,0x0D4000,(data),897256b6709e1a4da9daba92b6bde39ccfccd8c1,-0.0,1,100.0,0.0,16384,0,16384,0x00,0.0,0.0
Pokemon - Edicion Plata (Spain).gbc,INTL,36,54,0x0D8000,Font Inversed,416067978de654dedea06a43048af9e51b138a29,0.635013,80,93.75,1.3855,15360,9,15360,0x00,0.769,3.8391
Pokemon - Edicion Plata (Spain).gbc,INTL,37,55,0x0DC000,Map Blocks 3 / Tileset Data 5,fd4efbe19c7c2b8f26537b555877b535c64b3dda,6.494348,255,10.1501,2.948,416,104,416,0x00,13.2935,17.8467
Pokemon - Edicion Plata (Spain).gbc,INTL,38,56,0x0E0000,bank38,eb0f44e5168b308d40f73ef84b91d800a4c5bc7f,6.644988,256,17.4072,2.6672,2063,5,2063,0x00,14.209,29.01
Pokemon - Edicion Plata (Spain).gbc,INTL,39,57,0x0E4000,Copyright / Title Screen 2 / bank39,e41a69d75149645142a33cf93a3136f1115b07be,6.332715,256,22.7661,4.1687,2869,8,2869,0x00,13.0249,29.3457
Pokemon - Edicion Plata (Spain).gbc,INTL,3A,58,0x0E8000,Audio / Songs 1,d484eceab56b0b07f5e66bf5fefd7b75bb9ace1f,6.998383,255,3.4607,1.0437,73,2,73,0x00,21.8262,42.9993
Pokemon - Edicion Plata (Spain).gbc,INTL,3B,59,0x0EC000,Songs 2,0817a94053fbd6b83cd3640b2286817814f3346c,6.374539,247,7.5989,0.7812,267,1,267,0x00,19.1528,45.1782
Pokemon - Edicion Plata (Spain).gbc,INTL,3C,60,0x0F0000,Songs 3 / Sound Effects / Cries,5d36c19cdbe4ed8014d67d2a43e981ac5f7ab136,6.699448,256,10.083,3.4912,138,2,138,0x00,15.5762,32.2937
Pokemon - Edicion Plata (Spain).gbc,INTL,3D,61,0x0F4000,Songs 4,bd5b998ef17a222cf209971ec62df27223e0607f,6.525259,247,6.7383,0.9094,269,1,269,0x00,20.7031,44.0186
