language_region,revision,source_block,pointer_count,distinct_target_blocks,top_target_blocks
JA-JP,REV-0,0,11867,14,0:7988;3:2036;2:829;1:712;4:129
JA-JP,REV-0,1,14849,16,1:8088;0:1573;4:1562;12:1386;3:1090
JA-JP,REV-0,2,3683,16,2:2102;0:754;1:637;12:49;3:26
JA-JP,REV-0,3,20600,16,3:10659;1:3631;0:3280;13:1027;12:941
JA-JP,REV-0,4,8252,16,4:2853;1:1750;0:869;6:661;3:573
JA-JP,REV-0,5,516,16,2:66;3:63;0:59;1:58;15:53
JA-JP,REV-0,6,2808,16,6:1853;4:371;12:157;0:146;1:94
JA-JP,REV-0,7,0,0,
JA-JP,REV-0,8,0,0,
JA-JP,REV-0,9,0,0,
JA-JP,REV-0,10,0,0,
JA-JP,REV-0,11,0,0,
JA-JP,REV-0,12,1059,16,0:319;4:315;1:86;7:41;3:36
JA-JP,REV-0,13,616,16,0:228;1:63;4:57;8:38;5:37
JA-JP,REV-0,14,0,0,
JA-JP,REV-0,15,252,2,0:251;6:1
DE-DE,REV-0,0,11834,14,0:7983;3:1480;2:1060;4:595;1:488
DE-DE,REV-0,1,10938,16,1:6769;4:1790;0:1388;3:589;2:167
DE-DE,REV-0,2,5885,16,2:2691;13:1417;0:841;14:742;1:70
DE-DE,REV-0,3,19972,15,3:10093;0:2995;1:2803;2:1499;14:1035
DE-DE,REV-0,4,9121,16,4:4072;1:1585;0:901;6:789;5:563
DE-DE,REV-0,5,670,16,0:124;15:86;1:82;2:75;3:74
DE-DE,REV-0,6,2875,15,6:1845;4:381;12:161;0:151;1:102
DE-DE,REV-0,7,300,16,0:65;4:50;1:37;2:24;7:19
DE-DE,REV-0,8,0,0,
DE-DE,REV-0,9,0,0,
DE-DE,REV-0,10,0,0,
DE-DE,REV-0,11,0,0,
DE-DE,REV-0,12,0,0,
DE-DE,REV-0,13,1058,16,0:318;4:315;1:86;7:41;3:36
DE-DE,REV-0,14,749,16,0:269;1:74;4:59;8:52;6:45
DE-DE,REV-0,15,0,0,
ES-ES,REV-0,0,11833,14,0:7983;3:1523;2:1061;4:550;1:488
ES-ES,REV-0,1,11099,16,1:6890;4:1799;0:1399;3:588;2:175
ES-ES,REV-0,2,5905,16,2:2711;13:1417;0:841;14:742;1:70
ES-ES,REV-0,3,20053,16,3:10074;0:3070;1:2804;2:1503;14:1035
ES-ES,REV-0,4,9088,16,4:4093;1:1594;0:854;6:770;5:534
ES-ES,REV-0,5,613,16,0:99;15:74;2:73;3:73;1:70
ES-ES,REV-0,6,2974,16,6:1847;4:398;0:178;12:162;1:109
ES-ES,REV-0,7,194,16,0:37;4:32;1:29;7:16;2:15
ES-ES,REV-0,8,0,0,
ES-ES,REV-0,9,0,0,
ES-ES,REV-0,10,0,0,
ES-ES,REV-0,11,0,0,
ES-ES,REV-0,12,0,0,
ES-ES,REV-0,13,1058,16,0:318;4:315;1:86;7:41;3:36
ES-ES,REV-0,14,748,16,0:267;1:78;4:61;8:51;6:46
ES-ES,REV-0,15,0,0,
EN-EUROPE,REV-1,0,11861,14,0:7983;3:1497;2:1056;4:603;1:497
EN-EUROPE,REV-1,1,11232,16,1:6951;4:1850;0:1396;3:591;2:166
EN-EUROPE,REV-1,2,5881,16,2:2687;13:1417;0:841;14:742;1:70
EN-EUROPE,REV-1,3,19964,15,3:10101;0:2994;1:2801;2:1501;14:1035
EN-EUROPE,REV-1,4,9125,16,4:4068;1:1591;0:903;6:794;5:561
EN-EUROPE,REV-1,5,680,16,0:126;15:89;1:83;2:80;3:73
EN-EUROPE,REV-1,6,2867,15,6:1857;4:378;12:159;0:146;1:101
EN-EUROPE,REV-1,7,329,16,0:71;4:52;1:40;2:27;7:21
EN-EUROPE,REV-1,8,0,0,
EN-EUROPE,REV-1,9,0,0,
EN-EUROPE,REV-1,10,0,0,
EN-EUROPE,REV-1,11,0,0,
EN-EUROPE,REV-1,12,0,0,
EN-EUROPE,REV-1,13,1058,16,0:318;4:315;1:86;7:41;3:36
EN-EUROPE,REV-1,14,735,16,0:269;1:70;4:62;8:50;6:45
EN-EUROPE,REV-1,15,0,0,
