left,right,size,differing_bytes,difference_ratio,changed_64k_blocks,first_difference_hex,last_difference_hex
JA-JP/REV-0,DE-DE/REV-0,16777216,10476307,0.62443656,172,0x000000AF,0x00FDFFFE
JA-JP/REV-0,ES-ES/REV-0,16777216,10425312,0.62139702,172,0x000000AF,0x00FDFFFE
JA-JP/REV-0,EN-EUROPE/REV-1,16777216,10477060,0.62448144,172,0x000000AF,0x00FDFFFE
JA-JP/REV-0,EN-USA/REV-0,16777216,10470545,0.62409312,172,0x000000AF,0x00FDFFFE
JA-JP/REV-0,FR-FR/REV-0,16777216,10418986,0.62101996,171,0x000000AF,0x00FDFFFE
JA-JP/REV-0,IT-IT/REV-0,16777216,10418854,0.62101209,171,0x000000AF,0x00FDFFFE
DE-DE/REV-0,ES-ES/REV-0,16777216,8093415,0.48240513,141,0x000000AF,0x00EB2387
DE-DE/REV-0,EN-EUROPE/REV-1,16777216,7848662,0.46781671,141,0x000000AF,0x00EB2337
DE-DE/REV-0,EN-USA/REV-0,16777216,7808533,0.46542484,141,0x000000AF,0x00EB2337
DE-DE/REV-0,FR-FR/REV-0,16777216,8072766,0.48117435,141,0x000000AF,0x00EB2337
DE-DE/REV-0,IT-IT/REV-0,16777216,7620733,0.45423108,141,0x000000AF,0x00EB244B
ES-ES/REV-0,EN-EUROPE/REV-1,16777216,7011290,0.41790545,119,0x000000AF,0x00EB2387
ES-ES/REV-0,EN-USA/REV-0,16777216,6995053,0.41693765,119,0x000000AF,0x00EB2387
ES-ES/REV-0,FR-FR/REV-0,16777216,6688889,0.39868885,119,0x000000AF,0x00EB2387
ES-ES/REV-0,IT-IT/REV-0,16777216,7832045,0.46682626,141,0x000000AF,0x00EB244B
EN-EUROPE/REV-1,EN-USA/REV-0,16777216,6424014,0.38290107,114,0x000000BC,0x00719B87
EN-EUROPE/REV-1,FR-FR/REV-0,16777216,7015698,0.41816819,119,0x000000AF,0x00EB2317
EN-EUROPE/REV-1,IT-IT/REV-0,16777216,8057172,0.48024487,141,0x000000AF,0x00EB244B
EN-USA/REV-0,FR-FR/REV-0,16777216,7018388,0.41832852,119,0x000000AF,0x00EB2317
EN-USA/REV-0,IT-IT/REV-0,16777216,8048315,0.47971696,141,0x000000AF,0x00EB244B
FR-FR/REV-0,IT-IT/REV-0,16777216,7918060,0.47195315,140,0x000000AF,0x00EB244B
