bank_hex,candidate_two_byte_occurrences,unique_candidate_codes,terminator_0x50_count,space_0x7F_count,control_0x59_count,pair_byte_coverage
0x00,1179,429,57,48,15,0.143921
0x01,1603,413,164,51,36,0.195679
0x02,1114,410,64,275,24,0.135986
0x03,1173,459,135,34,47,0.143188
0x04,1499,414,147,221,56,0.182983
0x05,1316,479,178,68,110,0.160645
0x06,2097,252,167,65,99,0.255981
0x07,1805,440,41,123,15,0.220337
0x08,1736,457,125,119,25,0.211914
0x09,1769,533,145,99,17,0.215942
0x0A,1830,509,106,53,54,0.223389
0x0B,164,101,23,18,13,0.020020
0x0C,2079,469,41,170,11,0.253784
0x0D,1179,390,60,161,34,0.143921
0x0E,1703,462,523,22,22,0.207886
0x0F,1066,376,64,50,30,0.130127
0x10,1649,555,79,88,39,0.201294
0x11,169,108,35,6,11,0.020630
0x12,1654,692,56,239,21,0.201904
0x13,0,0,0,0,0,0.000000
0x14,1283,423,215,222,54,0.156616
0x15,1759,698,55,246,11,0.214722
0x16,1735,676,69,290,9,0.211792
0x17,1937,706,63,249,10,0.236450
0x18,1841,691,58,270,5,0.224731
0x19,1977,727,61,281,3,0.241333
0x1A,2027,722,44,255,6,0.247437
0x1B,1898,694,46,309,10,0.231689
0x1C,1929,684,59,270,5,0.235474
0x1D,2070,702,49,256,7,0.252686
0x1E,2024,702,45,261,2,0.247070
0x1F,1739,706,42,256,11,0.212280
0x20,1726,671,50,285,9,0.210693
0x21,1485,546,54,201,21,0.181274
0x22,0,0,0,0,0,0.000000
0x23,1484,433,65,133,22,0.181152
0x24,1850,589,208,146,62,0.225830
0x25,1967,524,75,21,80,0.240112
0x26,162,84,2,34,0,0.019775
0x27,0,0,0,0,0,0.000000
0x28,0,0,0,0,0,0.000000
0x29,0,0,0,0,0,0.000000
0x2A,3440,325,20,23,86,0.419922
0x2B,3845,410,1,9,65,0.469360
0x2C,0,0,0,0,0,0.000000
0x2D,0,0,0,0,0,0.000000
0x2E,1152,420,125,192,11,0.140625
0x2F,0,0,0,0,0,0.000000
0x30,1199,88,60,347,12,0.146362
0x31,920,179,55,432,20,0.112305
0x32,1833,458,182,7,15,0.223755
0x33,2156,520,36,20,25,0.263184
0x34,0,0,0,0,0,0.000000
0x35,0,0,0,0,0,0.000000
0x36,30,19,0,27,0,0.003662
0x37,2719,503,29,115,15,0.331909
0x38,1574,579,90,113,24,0.192139
0x39,1659,695,56,192,16,0.202515
0x3A,910,336,84,25,14,0.111084
0x3B,971,385,278,13,18,0.118530
0x3C,2885,893,113,36,21,0.352173
0x3D,1067,378,157,8,12,0.130249
0x3E,487,186,46,287,13,0.059448
0x3F,451,205,132,98,22,0.055054
0x40,3432,470,84,579,2,0.418945
0x41,2566,377,47,452,7,0.313232
0x42,2450,543,6,472,9,0.299072
0x43,4073,640,6,796,6,0.497192
0x44,3914,674,8,744,12,0.477783
0x45,3271,645,4,579,1,0.399292
0x46,2480,577,12,422,10,0.302734
0x47,731,296,2,147,4,0.089233
0x48,3154,554,6,670,28,0.385010
0x49,2470,524,4,481,6,0.301514
0x4A,2433,486,7,459,32,0.296997
0x4B,3278,589,33,609,8,0.400146
0x4C,2431,497,9,454,7,0.296753
0x4D,2325,510,7,466,5,0.283813
0x4E,2558,518,8,480,5,0.312256
0x4F,2740,547,9,533,4,0.334473
0x50,2050,480,9,404,3,0.250244
0x51,2603,470,8,510,5,0.317749
0x52,2578,472,20,518,3,0.314697
0x53,2555,485,12,486,8,0.311890
0x54,2039,449,6,380,0,0.248901
0x55,1997,412,2,372,5,0.243774
0x56,4681,579,27,842,13,0.571411
0x57,4106,636,30,802,6,0.501221
0x58,0,0,0,0,0,0.000000
0x59,2456,470,6,486,2,0.299805
0x5A,2377,476,12,448,1,0.290161
0x5B,3124,634,9,493,10,0.381348
0x5C,1643,432,25,242,1,0.200562
0x5D,2383,466,8,474,7,0.290894
0x5E,3253,589,27,611,5,0.397095
0x5F,1351,353,3,254,2,0.164917
0x60,3429,541,5,668,3,0.418579
0x61,1948,454,3,331,0,0.237793
0x62,1356,339,0,257,0,0.165527
0x63,0,0,0,0,0,0.000000
0x64,3442,441,136,693,0,0.420166
0x65,3774,433,126,761,4,0.460693
0x66,1060,255,47,207,3,0.129395
0x67,0,0,0,0,0,0.000000
0x68,4517,601,257,1011,257,0.551392
0x69,4330,596,246,958,246,0.528564
0x6A,0,0,0,0,0,0.000000
0x6B,0,0,0,0,0,0.000000
0x6C,2959,527,1603,176,0,0.361206
0x6D,5324,440,259,1266,257,0.649902
0x6E,2634,307,204,551,125,0.321533
0x6F,0,0,0,0,0,0.000000
0x70,251,171,94,361,24,0.030640
0x71,597,475,94,3,5,0.072876
0x72,28,6,0,12,0,0.003418
0x73,0,0,0,0,0,0.000000
0x74,0,0,0,0,0,0.000000
0x75,0,0,0,0,0,0.000000
0x76,0,0,0,0,0,0.000000
0x77,0,0,0,0,0,0.000000
0x78,1005,51,40,0,0,0.122681
0x79,1064,59,0,0,0,0.129883
0x7A,891,65,3,0,0,0.108765
0x7B,89,42,0,43,0,0.010864
0x7C,0,0,0,0,0,0.000000
0x7D,0,0,0,0,0,0.000000
0x7E,0,0,0,0,0,0.000000
0x7F,163,58,2,16,0,0.019897
