game_variant,species,variant,source_url,status,byte_size,width,height,sha256,output_path,evidence_class,collected_at_utc,note
x-y,650,default,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/650.png,fetched,1855,48,64,37e4cd796132a483964299c9514c1a655ebd9ebc456d594dace0e883290456f7,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/650.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,650,shiny,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/650.png,fetched,2058,46,60,f31ce442106aad7c41f892a819bb70cf7dd7f8cd8bcbde50f392cf8241c2818b,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/shiny/650.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,650,female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/female/650.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,650,shiny-female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/female/650.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,651,default,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/651.png,fetched,2950,73,68,274f874e73d22afa19d0191183389fae924482f90b815b4dda08bf23226e0a0b,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/651.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,651,shiny,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/651.png,fetched,2653,71,68,a83a1d7d1cf31b3a768e163ffe8fbb24b75ef3f8591736e2fab028f1bf50f6c5,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/shiny/651.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,651,female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/female/651.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,651,shiny-female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/female/651.png,missing-public-source,,,,,,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,HTTP 404; variant may be not applicable or absent upstream
x-y,652,default,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/652.png,fetched,5533,123,105,78c9533aaf5ed7cc5b67390f1e9b201e05e75b4499b4c069e98cfa8f7cf6a94a,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/652.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
x-y,652,shiny,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/shiny/652.png,fetched,5413,122,106,4ab54f38b364f2ccbff8dca7cc8b1df39d578698c07b9a0a25fcd2c300b05385,derived/generation-06/battle-sprites/gen3-insertion/BATTLE_MASTER_V1/secondary-evidence/pokeapi/x-y/batch-0650-0659/png/shiny/652.png,secondary-provisional-visual-evidence,2026-09-15T02:48:55+00:00,
