left_release,right_release,left_dump,right_dump,common_bytes,differing_bytes_in_common_span,size_delta_bytes,common_bank_count,byte_identical_banks
AAXS-HV0,AAXI-HV0,DUMP-SHA256-6797010C052E8F93,DUMP-SHA256-04C442246D1AE0ED,2097152,528534,0,128,48
AAXS-HV0,AAXE-HV0,DUMP-SHA256-6797010C052E8F93,DUMP-SHA256-72B190859A59623C,2097152,606013,0,128,47
AAXS-HV0,AAXJ-HV0,DUMP-SHA256-6797010C052E8F93,DUMP-SHA256-0A532063A3FF5750,1048576,754887,-1048576,64,8
AAXS-HV0,AAXJ-HV1,DUMP-SHA256-6797010C052E8F93,DUMP-SHA256-99E5267FBF5A7748,1048576,746717,-1048576,64,8
AAXS-HV0,AAXD-HV0,DUMP-SHA256-6797010C052E8F93,DUMP-SHA256-C3D1FD0DEC1D5FA9,2097152,609441,0,128,47
AAXS-HV0,AAXK-HV0,DUMP-SHA256-6797010C052E8F93,DUMP-SHA256-EBBAC63C0C4309C8,2097152,898255,0,128,27
AAXS-HV0,AAXF-HV0,DUMP-SHA256-6797010C052E8F93,DUMP-SHA256-E120C4DDB0DC3E25,2097152,567265,0,128,47
AAXI-HV0,AAXE-HV0,DUMP-SHA256-04C442246D1AE0ED,DUMP-SHA256-72B190859A59623C,2097152,609441,0,128,47
AAXI-HV0,AAXJ-HV0,DUMP-SHA256-04C442246D1AE0ED,DUMP-SHA256-0A532063A3FF5750,1048576,755228,-1048576,64,8
AAXI-HV0,AAXJ-HV1,DUMP-SHA256-04C442246D1AE0ED,DUMP-SHA256-99E5267FBF5A7748,1048576,747095,-1048576,64,8
AAXI-HV0,AAXD-HV0,DUMP-SHA256-04C442246D1AE0ED,DUMP-SHA256-C3D1FD0DEC1D5FA9,2097152,603513,0,128,47
AAXI-HV0,AAXK-HV0,DUMP-SHA256-04C442246D1AE0ED,DUMP-SHA256-EBBAC63C0C4309C8,2097152,902680,0,128,27
AAXI-HV0,AAXF-HV0,DUMP-SHA256-04C442246D1AE0ED,DUMP-SHA256-E120C4DDB0DC3E25,2097152,568327,0,128,47
AAXE-HV0,AAXJ-HV0,DUMP-SHA256-72B190859A59623C,DUMP-SHA256-0A532063A3FF5750,1048576,746193,-1048576,64,8
AAXE-HV0,AAXJ-HV1,DUMP-SHA256-72B190859A59623C,DUMP-SHA256-99E5267FBF5A7748,1048576,738001,-1048576,64,8
AAXE-HV0,AAXD-HV0,DUMP-SHA256-72B190859A59623C,DUMP-SHA256-C3D1FD0DEC1D5FA9,2097152,641285,0,128,47
AAXE-HV0,AAXK-HV0,DUMP-SHA256-72B190859A59623C,DUMP-SHA256-EBBAC63C0C4309C8,2097152,882326,0,128,29
AAXE-HV0,AAXF-HV0,DUMP-SHA256-72B190859A59623C,DUMP-SHA256-E120C4DDB0DC3E25,2097152,607499,0,128,47
AAXJ-HV0,AAXJ-HV1,DUMP-SHA256-0A532063A3FF5750,DUMP-SHA256-99E5267FBF5A7748,1048576,19150,0,64,48
AAXJ-HV0,AAXD-HV0,DUMP-SHA256-0A532063A3FF5750,DUMP-SHA256-C3D1FD0DEC1D5FA9,1048576,754730,1048576,64,8
AAXJ-HV0,AAXK-HV0,DUMP-SHA256-0A532063A3FF5750,DUMP-SHA256-EBBAC63C0C4309C8,1048576,584153,1048576,64,20
AAXJ-HV0,AAXF-HV0,DUMP-SHA256-0A532063A3FF5750,DUMP-SHA256-E120C4DDB0DC3E25,1048576,747884,1048576,64,8
AAXJ-HV1,AAXD-HV0,DUMP-SHA256-99E5267FBF5A7748,DUMP-SHA256-C3D1FD0DEC1D5FA9,1048576,746571,1048576,64,8
AAXJ-HV1,AAXK-HV0,DUMP-SHA256-99E5267FBF5A7748,DUMP-SHA256-EBBAC63C0C4309C8,1048576,575797,1048576,64,20
AAXJ-HV1,AAXF-HV0,DUMP-SHA256-99E5267FBF5A7748,DUMP-SHA256-E120C4DDB0DC3E25,1048576,739656,1048576,64,8
AAXD-HV0,AAXK-HV0,DUMP-SHA256-C3D1FD0DEC1D5FA9,DUMP-SHA256-EBBAC63C0C4309C8,2097152,931053,0,128,27
AAXD-HV0,AAXF-HV0,DUMP-SHA256-C3D1FD0DEC1D5FA9,DUMP-SHA256-E120C4DDB0DC3E25,2097152,587226,0,128,48
AAXK-HV0,AAXF-HV0,DUMP-SHA256-EBBAC63C0C4309C8,DUMP-SHA256-E120C4DDB0DC3E25,2097152,906381,0,128,27
