bank	offset_hex	unique_images	groups
0	0x00000000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
1	0x00010000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
2	0x00020000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
3	0x00030000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
4	0x00040000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
5	0x00050000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
6	0x00060000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
7	0x00070000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
8	0x00080000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
9	0x00090000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
10	0x000A0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
11	0x000B0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
12	0x000C0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
13	0x000D0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
14	0x000E0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
15	0x000F0000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
16	0x00100000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
17	0x00110000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
18	0x00120000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
19	0x00130000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
20	0x00140000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
21	0x00150000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
22	0x00160000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
23	0x00170000	6	BPED-R0 | BPEE-R0 | BPEF-R0 | BPEI-R0 | BPEJ-R0 | BPES-R0
