source_nat,source_internal,bw_method,bw_param,target_nat,target_internal,status,note
82,82,25,0,462,515,pending_dependency,pending_field_system: magnetic-field location condition needs mapped field locations
108,108,21,205,463,516,active_hook,level-up while knowing existing Gen III move
112,112,6,321,464,517,pending_dependency,pending_item_system: Gen IV/V held trade item is not yet a valid Emerald item
114,114,21,246,465,518,active_hook,level-up while knowing existing Gen III move
125,125,6,322,466,519,pending_dependency,pending_item_system: Gen IV/V held trade item is not yet a valid Emerald item
126,126,6,323,467,520,pending_dependency,pending_item_system: Gen IV/V held trade item is not yet a valid Emerald item
133,133,26,0,470,523,pending_dependency,pending_field_system: Moss Rock location condition needs mapped field location
133,133,27,0,471,524,pending_dependency,pending_field_system: Ice Rock location condition needs mapped field location
176,176,8,107,468,521,pending_dependency,pending_item_system: required Gen IV/V evolution stone is not yet a valid Emerald item
190,190,21,458,424,477,pending_dependency,pending_move_system: required move ID is not yet implemented in Emerald
193,193,21,246,469,522,active_hook,level-up while knowing existing Gen III move
198,198,8,108,430,483,pending_dependency,pending_item_system: required Gen IV/V evolution stone is not yet a valid Emerald item
200,200,8,108,429,482,pending_dependency,pending_item_system: required Gen IV/V evolution stone is not yet a valid Emerald item
207,207,20,327,472,525,pending_dependency,pending_item_system: Razor Claw/Fang held/night condition requires new item
215,215,20,326,461,514,pending_dependency,pending_item_system: Razor Claw/Fang held/night condition requires new item
221,221,21,246,473,526,active_hook,level-up while knowing existing Gen III move
233,233,6,324,474,527,pending_dependency,pending_item_system: Gen IV/V held trade item is not yet a valid Emerald item
281,393,17,109,475,528,pending_dependency,pending_item_system: Dawn Stone + male condition requires new item
299,320,25,0,476,529,pending_dependency,pending_field_system: magnetic-field location condition needs mapped field locations
315,363,8,107,407,460,pending_dependency,pending_item_system: required Gen IV/V evolution stone is not yet a valid Emerald item
356,362,6,325,477,530,pending_dependency,pending_item_system: Gen IV/V held trade item is not yet a valid Emerald item
361,346,18,109,478,531,pending_dependency,pending_item_system: Dawn Stone + female condition requires new item
