bank,primary_role,raw_diff_bytes,similarity_percent,direct_revision_edit,root_cause_class,semantic_status
00,ROM0/HOME; interrupts; text engine; serial; bankswitch; common routines,13109,19.989014,yes,direct serial edit + serial2 relocation + -0x12 global address cascade + revision filler,DEEP-AUDITED
01,title; link/cable club; movement; menus; Oak intro; naming; mart/center,11803,27.960205,yes,direct cable-club edits/removals + -0x60 section shrink + relocation cascade + filler,DEEP-AUDITED
02,Audio Engine 1; music/SFX,18,99.890137,no,6 HOME relocation operand bytes + 12 Garbage2 bytes; no direct audio edit,DEEP-AUDITED
03,joypad; inventory; overworld; wild mons; items; hidden-event helpers,366,97.766113,no,332 HOME relocation bytes + 4 bank0F relocation bytes + 30 Garbage3 bytes; no direct bank3 edit,DEEP-AUDITED
04,move names; font/player GFX; start menu; Battle Engine 1,233,98.577881,yes,Haze direct logic fix + relocated operands + filler,DEEP-AUDITED
05,NPC sprites 2; Battle Engine 2,83,99.493408,no,39 HOME relocation bytes + bank0F PlayCurrentMoveAnimation/DrawHUDsAndHPBars + bank01 PlayerPC relocations + 41 Garbage5 bytes; no direct bank5 edit,DEEP-AUDITED
06,Maps 1-2; play time; doors/ledges,348,97.875977,no,308 HOME relocation bytes + 40 Garbage6 bytes; no direct bank6 edit,DEEP-AUDITED
07,Maps 3-4; clear save; hidden events 1,560,96.582031,no,492 HOME relocation bytes + bank01 DisplayNameRaterScreen relocation + 67 Garbage7 bytes; no direct bank7 edit,DEEP-AUDITED
08,Bill's PC; Audio Engine 2; music/SFX,60,99.633789,no,60 HOME relocation bytes; no residual region and no direct bank8 edit,DEEP-AUDITED
09,Pics 1; Battle Engine 3,519,96.832275,yes,Rev0-only 0x26-byte unused serial routine removed + downstream shift + filler,DEEP-AUDITED
0A,Pics 2; Battle Engine 4,14,99.914551,no,5 HOME relocation bytes + bank0F MoveHitTest/PlayCurrentMoveAnimation relocations + 7 Garbage10 bytes; no direct bank0A edit,DEEP-AUDITED
0B,Pics 3; Battle Engine 5,13,99.920654,no,12 HOME relocation bytes + 1 Garbage11 byte; no direct bank0B edit,DEEP-AUDITED
0C,Pics 4; Battle Engine 6,32,99.804688,no,3 HOME relocation bytes + bank0F PlayCurrentMoveAnimation/PrintButItFailedText relocations + 27 Garbage12 bytes; no direct bank0C edit,DEEP-AUDITED
0D,Pics 5; slot machines,65,99.603271,no,64 HOME relocation bytes + bank01 DisplayTextIDInit relocation; no direct bank0D edit,DEEP-AUDITED
0E,base stats; names; cries; moves; AI; evos/moves; Battle Engine 7,79,99.517822,no,67 HOME relocation bytes + 11 bank0F relocation bytes + 1 Garbage14 byte; no direct bank0E edit,DEEP-AUDITED
0F,Battle Core + effects,15403,5.987549,yes,multiple direct battle fixes + +0x05 growth + dense address/pointer cascade,DEEP-AUDITED
10,Pokédex; trade movie; intro,135,99.176025,no,relocated operands + filler,STRUCTURAL
11,Maps 5-6; Pokédex rating; Hidden Events Core,307,98.126221,no,relocated pointers/calls + filler,STRUCTURAL
12,Maps 7-8; screen effects,406,97.521973,no,relocated pointers/calls + filler,STRUCTURAL
13,trainer pics; Maps 9; Predefs,36,99.780273,no,relocated predef/call operands + filler,STRUCTURAL
14,Maps 10; Battle Engine 8; Hidden Events 2,379,97.686768,no,relocated pointers/calls + filler,STRUCTURAL
15,Maps 11; Battle Engine 9; diploma; trainer sight,313,98.089600,no,relocated pointers/calls + filler,STRUCTURAL
16,Maps 12-13; Battle Engines 10-11,330,97.985840,no,relocated pointers/calls + filler,STRUCTURAL
17,Maps 14-15; Starter Dex; Hidden Events 3,397,97.576904,no,relocated pointers/calls + filler,STRUCTURAL
18,Maps 16-17; Cinnabar fossils; Hidden Events 4,359,97.808838,no,relocated pointers/calls + filler,STRUCTURAL
19,Tilesets 1,32,99.804688,no,tail filler / address-dependent metadata,STRUCTURAL
1A,Version GFX; Tilesets 2; Battle Engine 12,2,99.987793,no,one revision residual byte + one relocated operand,STRUCTURAL
1B,Tilesets 3,0,100.000000,no,identical,VERIFIED-IDENTICAL
1C,credits; Hall of Fame; transitions; map/icons/trades/palettes/save,203,98.760986,no,relocated calls/pointers + filler,STRUCTURAL
1D,Maps 18-20; itemfinder; vending; League PC; hidden items,425,97.406006,no,relocated pointers/calls + filler,STRUCTURAL
1E,status; battle animations; evolution; elevator; TM prices,132,99.194336,no,relocated calls/pointers + filler,STRUCTURAL
1F,Audio Engine 3; music/SFX,7,99.957275,no,relocated operands / tail filler,STRUCTURAL
