bank,raw_diff_bytes,active_diff_bytes,residual_diff_bytes,active_low_delta_minus_0x12,active_high_borrow_minus_1,active_other_diff_bytes,active_end_cpu
02,18,6,12,6,0,0,7FE3
03,366,336,30,310,22,4,7FE0
04,233,229,4,193,31,5,7FFA
05,83,42,41,36,3,3,7FD5
06,348,308,40,296,12,0,7FCF
07,560,493,67,467,25,1,7FB8
08,60,60,0,56,4,0,7FFF
09,519,470,49,1,2,467,7FCD
0A,14,7,7,5,0,2,7FF8
0B,13,12,1,10,2,0,7FFE
0C,32,5,27,3,0,2,7FE3
0D,65,65,0,57,7,1,7FFF
0E,79,78,1,66,1,11,7FFE
0F,15403,15398,5,83,135,15180,7FFA
10,135,121,14,108,13,0,7FF1
11,307,259,48,254,5,0,7FCF
12,406,321,85,314,7,0,7FAA
13,36,34,2,14,2,18,7FFD
14,379,360,19,347,7,6,7FEC
15,313,302,11,285,11,6,7FF4
16,330,307,23,296,9,2,7FE7
17,397,347,50,342,5,0,7FCD
18,359,315,44,302,13,0,7FCF
19,32,0,32,0,0,0,7FDF
1A,2,1,1,1,0,0,7FFE
1B,0,0,0,0,0,0,7FFF
1C,203,195,8,174,20,1,7FF7
1D,425,363,62,347,16,0,7FC1
1E,132,113,19,94,19,0,7FEB
1F,7,3,4,3,0,0,7FEB
