path,entry_index,black_size,white_size,black_sha1,white_sha1
a/0/2/6,0,13882,14173,3c66032264e007b9423a1aad4d667aef2581f90d,c9136063a172adecacdd1cdb2ffdef7e5fb1df12
a/0/2/6,1,1246,1248,709d55c43ab5c7202a426bafb98f67001dcb23d7,4a0ee6c593b83bf5cfce57ffed06f54ea2d1079d
a/0/2/6,2,552,552,92c257220d8fbd9bc33f29bf3a4d4f08dfdb859f,d0f83cf442e8320e1533d45e4a7175f5b3a2f432
a/0/2/6,3,253,253,e520f860bca44908569160441b79b4620e089c03,5ab673ee7e4d6bc1679bb4a7c0113a454acb7f81
a/0/2/6,4,552,552,afd030742a2a576b5c16615601bed4ca97e5473b,b09c5468d07415f3d4fc7c8aef7dcddf1315874c
a/0/2/6,6,140,142,1129b80809058dc9806080efa8e7bd00e72ffeea,5d9db002070545f025771c2a9f10abd85beab079
a/0/2/6,7,112,114,8dc7cbd638a7072d571b77a878989175d92a88e3,7c6febc53c205eb9fd54d0f862ef5841f7560f05
a/0/2/6,8,552,552,f49c0204947d63f5dde55d7061fc671041589622,f3339a034ecb3f5e1eb33997def9e0c4676a93c2
a/0/8/6,0,3294,3294,eb4ed6f40060c1bda8fc17a6933d61305faa226d,bca2260a930f1c5ef0199be74ea0e93d9a804f7d
a/1/2/6,0,232,232,883b0d630aab076fb081d1689d609dd893d56daa,e6ff469ab9ade6479477fea306ed6bf5da47384f
a/1/2/6,5,232,232,e310f6272d8518c8c8d6abcf338bc4d0adc10b51,2837b3990d10a1ada3a6c77a6d4f0281bb57871d
a/1/2/6,6,232,232,312946cfee43be698a077cc260724afd69a04728,55c5e379ed28b916a58523b14ca440618c2892db
a/1/2/6,49,928,928,17d5fc426e76e31dc3f88d3b8171cb3353cd11b6,d7fd5d74680e7314087c4744986be6f0703822fc
a/1/2/6,52,232,232,f04bf5228c6c0b3c7b64fb8e1a50aa41afbf32f4,8a04afe2caf1fa79e193fca456a8ecb17f984bfd
