file_id	path	size	members	member_size_min	member_size_max	member_size_unique	archive_sha256	role	status
244	a/0/0/2	3054740	288	20	252092	233	45718b9eb366db135f527caab05f188adda787b6f5e11c983e126705d59e4400	system_message_text	confirmed
245	a/0/0/3	1603248	472	32	160444	310	d8975dec2aa179a4783f4d960e87c36ddc776c833434c487a4b18081f2a9e868	story_field_text	confirmed
254	a/0/1/2	20556	1	20496	20496	1	e7dc15c74ef5840e32171dd2b07a0285b6036bb2b6cfad6c0fa97b3cd27a7270	zone_data_map_association	confirmed
258	a/0/1/6	46780	669	56	1300	3	56a3f3b72ad113d2728c086219b6affbb5497e04b6667e1cdef4adadd3c3ce06	pokemon_personal_parameters	confirmed
259	a/0/1/7	3348	8	404	404	1	ce5c612e32e537da3cdf7808c3f21ab217e83a75ead56027d98a7d84bb1b55d6	experience_growth_tables	confirmed
260	a/0/1/8	46904	668	4	92	23	988f77b54a0d200ddd9547123e87902f128bb389ab3d9c85af78f74356fd0311	level_up_learnsets	confirmed
261	a/0/1/9	34788	668	42	42	1	270316da9dd317f3e3e7682ae5aee6350cbc96226a52d47ac2e2852854b0d99d	evolution_data	confirmed
262	a/0/2/0	7852	650	2	2	1	414deaf6d5cb9e0a22143ddc4ce219c5a6210818e31affc10332a0443b74d98c	baby_base_species_table	confirmed
263	a/0/2/1	24692	560	36	36	1	2b2609fed2f358edb6731abbe27ae88e081064696d33791f42f394b808c93731	move_parameters	confirmed
266	a/0/2/4	27640	627	36	36	1	7a26e51b71a3a121c37f01e7b66e4dfac1d5d3e2d4030c0db023cc9c9ee1cdfa	item_parameters	high
268	a/0/2/6	22528	15	114	14173	12	598609bc6c3e187ebb875ec41852010c76fc4db219a8e2a522c0cf828fc0daf2	title_version_assets	confirmed
299	a/0/5/7	447336	899	4	33176	240	d082c6780b07ed0fad747a618770d088760008d7e32905833a6267b77c18eb64	field_map_scripts	high
334	a/0/9/2	17296	616	16	20	2	963b0ed12abdaa06fb6eb56b200fb3d868559e29bb6cb2c7ab58e2d252036fd9	trainer_data_trdata	confirmed
335	a/0/9/3	17144	616	6	108	12	05d251a35fcd294e048c9dc43764e5b90ae0a80772e408ca00cc908c24eb4be6	trainer_party_trpoke	confirmed
365	a/1/2/3	13140	650	0	34	14	a84ea85d18523baccf853a48b3ef58373390da10c9b46ee629aedcf475d0cc93	egg_move_data	high
367	a/1/2/5	131304	428	4	2178	175	95af4dc093add3fe1df7ec35742ec729a70cba5ab2e1b24f0f993a0d1ef08d76	overworld_event_objects	confirmed
368	a/1/2/6	35284	112	232	928	2	03697802e264d2ebcc832aa5359d65b6c10da179402539e930ab5fa2f935ac22	wild_encounter_data	confirmed
420	a/1/7/8	168792	649	249	249	1	218843876112fa534fdc05c02292811f8dbc21d26064f925d84cbd16738cb693	pokedex_availability_location_matrix_candidate	high_inferred
