rom_key,file,core_end,first_word,arm_entry,bx_r1_offset,ldr_r1_offset,literal_offset,thumb_pointer,thumb_entry
AXVJ_v0_JPN,Pocket Monsters - Ruby (Japan).gba,0x00660000,0xEA000032,0x000000D0,0x000000FC,0x000000F4,0x00000244,0x0800024D,0x0000024C
AXVS_v1_ESP,Pokemon - Edicion Rubi (Spain) (Rev 1).gba,0x006B1FC8,0xEA00007F,0x00000204,0x00000230,0x00000228,0x00000378,0x08000381,0x00000380
AXVS_v0_ESP,Pokemon - Edicion Rubi (Spain).gba,0x006B1FC8,0xEA00007F,0x00000204,0x00000230,0x00000228,0x00000378,0x08000381,0x00000380
AXVD_v0_DEU_DEBUG,Pokemon - Rubin-Edition (Germany) (Debug Version).gba,0x006DF850,0xEA00007F,0x00000204,0x00000230,0x00000228,0x00000378,0x08000381,0x00000380
AXVD_v1_DEU,Pokemon - Rubin-Edition (Germany) (Rev 1).gba,0x006B1FC8,0xEA00007F,0x00000204,0x00000230,0x00000228,0x00000378,0x08000381,0x00000380
AXVD_v0_DEU,Pokemon - Rubin-Edition (Germany).gba,0x006B1FC8,0xEA00007F,0x00000204,0x00000230,0x00000228,0x00000378,0x08000381,0x00000380
AXVE_v1_EUR,Pokemon - Ruby Version (Europe) (Rev 1).gba,0x006B1FC8,0xEA000032,0x000000D0,0x000000FC,0x000000F4,0x00000244,0x0800024D,0x0000024C
AXVE_v0_USA,Pokemon - Ruby Version (USA).gba,0x006B1FC8,0xEA000032,0x000000D0,0x000000FC,0x000000F4,0x00000244,0x0800024D,0x0000024C
AXVE_v2_USA_EUR,"Pokemon - Ruby Version (USA, Europe) (Rev 2).gba",0x006B1FC8,0xEA000032,0x000000D0,0x000000FC,0x000000F4,0x00000244,0x0800024D,0x0000024C
AXVF_v1_FRA,Pokemon - Version Rubis (France) (Rev 1).gba,0x006B1FC8,0xEA00007F,0x00000204,0x00000230,0x00000228,0x00000378,0x08000381,0x00000380
AXVF_v0_FRA,Pokemon - Version Rubis (France).gba,0x006B1FC8,0xEA00007F,0x00000204,0x00000230,0x00000228,0x00000378,0x08000381,0x00000380
AXVI_v1_ITA,Pokemon - Versione Rubino (Italy) (Rev 1).gba,0x006B1FC8,0xEA00007F,0x00000204,0x00000230,0x00000228,0x00000378,0x08000381,0x00000380
AXVI_v0_ITA,Pokemon - Versione Rubino (Italy).gba,0x006B1FC8,0xEA00007F,0x00000204,0x00000230,0x00000228,0x00000378,0x08000381,0x00000380
