family,bank,role
EN/WEST,00,Header/Home/RST/interrupts
EN/WEST,01,Core engine/menu/items
EN/WEST,02,Palette/player/math/predef
EN/WEST,03,Events/items/pokemon core
EN/WEST,04,Movement/menus/naming/events
EN/WEST,05,RTC/overworld/save/marts/breeding
EN/WEST,06,Tileset Data 1
EN/WEST,07,Roofs/Tileset Data 2/Extra Songs 1
EN/WEST,08,Clock Reset/Tileset Data 3/Catch Tutorial/Egg Moves
EN/WEST,09,Menus/text buffers/battle menu
EN/WEST,0A,Link/Mystery Gift/Wildmons
EN/WEST,0B,Descriptions/trainers/TMHM/Pokerus
EN/WEST,0C,Tileset Data 4
EN/WEST,0D,Effect Commands
EN/WEST,0E,Enemy Trainers
EN/WEST,0F,Battle Core
EN/WEST,10,Pokedex/moves/evolution
EN/WEST,11,AI/Pokedex2/events
EN/WEST,12,Pic pointers/Pics 1
EN/WEST,13,unassigned/padding/unknown
EN/WEST,14,Party/base stats/names/pics loader
EN/WEST,15,Pics 2
EN/WEST,16,Pics 3
EN/WEST,17,Pics 4
EN/WEST,18,Pics 5
EN/WEST,19,Pics 6
EN/WEST,1A,Pics 7
EN/WEST,1B,Pics 8
EN/WEST,1C,Pics 9
EN/WEST,1D,Pics 10
EN/WEST,1E,Pics 11
EN/WEST,1F,Unown pic pointers/Pics 12
EN/WEST,20,Trainer pic pointers/Pics 13
EN/WEST,21,Printer/Battle anim GFX/Hall of Fame/Credits
EN/WEST,22,unassigned/padding/unknown
EN/WEST,23,"Save/phone tilemap, field moves, sprite anims, icons"
EN/WEST,24,Phone/RTC/Pokegear/landmarks/slot machine
EN/WEST,25,Maps/Events
EN/WEST,26,Title Screen
EN/WEST,27,unassigned/padding/unknown
EN/WEST,28,unassigned/padding/unknown
EN/WEST,29,unassigned/padding/unknown
EN/WEST,2A,Map Blocks 1
EN/WEST,2B,Map Blocks 2
EN/WEST,2C,unassigned/padding/unknown
EN/WEST,2D,unassigned/padding/unknown
EN/WEST,2E,Pics 14/bank2E
EN/WEST,2F,unassigned/padding/unknown
EN/WEST,30,Sprites 1
EN/WEST,31,Sprites 2/bank31
EN/WEST,32,Battle anim BG/The End
EN/WEST,33,Move Animations/Extra Songs 2
EN/WEST,34,unassigned/padding/unknown
EN/WEST,35,unassigned/padding/unknown
EN/WEST,36,Font Inversed
EN/WEST,37,Map Blocks 3/Tileset Data 5
EN/WEST,38,Diploma/minigames/Bills PC
EN/WEST,39,Copyright/Title Screen 2
EN/WEST,3A,Audio/Songs 1
EN/WEST,3B,Songs 2
EN/WEST,3C,Songs 3/SFX/Cries
EN/WEST,3D,Songs 4
EN/WEST,3E,Font/collision/time capsule/etc
EN/WEST,3F,Debug dummy/tileset anims/NPC trade/etc
EN/WEST,40,Standard Scripts
EN/WEST,41,Phone Scripts
EN/WEST,42,Map Scripts 1
EN/WEST,43,Map Scripts 2
EN/WEST,44,Map Scripts 3
EN/WEST,45,Map Scripts 4
EN/WEST,46,Map Scripts 5
EN/WEST,47,Map Scripts 6
EN/WEST,48,Map Scripts 7
EN/WEST,49,Map Scripts 8
EN/WEST,4A,Map Scripts 9
EN/WEST,4B,Map Scripts 10
EN/WEST,4C,Map Scripts 11
EN/WEST,4D,Map Scripts 12
EN/WEST,4E,Map Scripts 13
EN/WEST,4F,Map Scripts 14
EN/WEST,50,Map Scripts 15
EN/WEST,51,Map Scripts 16
EN/WEST,52,Map Scripts 17
EN/WEST,53,Map Scripts 18
EN/WEST,54,Map Scripts 19
EN/WEST,55,Map Scripts 20
EN/WEST,56,Map Scripts 21
EN/WEST,57,Map Scripts 22
