region,offset_start,offset_end,JP_rev_identical_banks,JP_rev_diff_bytes,JP_rev_changed_banks,EN_rev_identical_banks,EN_rev_diff_bytes,EN_rev_changed_banks,all8_identical_banks
0,0x000000,0x0FFFFF,0,994119,64,0,987221,64,0
1,0x100000,0x1FFFFF,0,929314,64,0,948362,64,0
2,0x200000,0x2FFFFF,0,935823,64,0,669252,64,0
3,0x300000,0x3FFFFF,0,891685,64,0,723193,64,0
4,0x400000,0x4FFFFF,0,993288,64,0,885979,64,0
5,0x500000,0x5FFFFF,0,1040544,64,0,1029195,64,0
6,0x600000,0x6FFFFF,14,807855,50,0,1020149,64,0
7,0x700000,0x7FFFFF,64,0,0,57,103783,7,57
8,0x800000,0x8FFFFF,64,0,0,64,0,0,64
9,0x900000,0x9FFFFF,64,0,0,64,0,0,64
10,0xA00000,0xAFFFFF,64,0,0,64,0,0,64
11,0xB00000,0xBFFFFF,64,0,0,64,0,0,64
12,0xC00000,0xCFFFFF,64,0,0,64,0,0,0
13,0xD00000,0xDFFFFF,64,0,0,64,0,0,0
14,0xE00000,0xEFFFFF,64,0,0,64,0,0,19
15,0xF00000,0xFFFFFF,23,423569,41,63,1,1,7
