artifact_class,owner_repository,canonical_path_rule,notes
original_release_fact,Sakurai,LIBRARY/GEN-XX/<PLATFORM>/<GAME>/RELEASES/<RELEASE-ID>/...,Header metadata; bank/pointer/text-engine facts
exact_dump_observation,Sakurai,LIBRARY/.../RELEASES/<RELEASE-ID>/DUMPS/<DUMP-ID>/...,Hashes and observations tied to one supplied image
cross_release_comparison,Sakurai,LIBRARY/.../COMPARISONS/<COMPARISON-ID>/...,Revision/version/localization comparisons
source_rom_census,Sakurai,PROJECTS/GS-KOREAN-TO-POCKET-MONSTERS/REPORTS/SOURCE-ROM-AUDIT/...,Project-wide source census and bank audit
translation_crosswalk,Sakurai,PROJECTS/GS-KOREAN-TO-POCKET-MONSTERS/CROSSWALK/...,JP/EN source to modern KR terminology and final translation mapping
hangul_engine_design,Sakurai,PROJECTS/GS-KOREAN-TO-POCKET-MONSTERS/DESIGN/...,Encoding; decoder; pointers; UI; SRAM; naming architecture
analysis_tool,Sakurai,PROJECTS/GS-KOREAN-TO-POCKET-MONSTERS/TOOLS/...,Extractors; decoders; validators; diff tools
verification_evidence,Sakurai,PROJECTS/GS-KOREAN-TO-POCKET-MONSTERS/VERIFICATION/...,Round-trip; pointer; event; UI and text verification
original_release_asset,Tsubaki,LIBRARY/GEN-XX/<PLATFORM>/<GAME>/RELEASES/<RELEASE-ID>/...,Release-owned graphics/font/audio/UI assets or reproducible extraction recipes
cross_game_shared_asset,Tsubaki,LIBRARY/GEN-XX/<PLATFORM>/_SHARED/SHARED/<DOMAIN>/...,Byte-identical or format-identical assets shared by multiple games
converted_asset,Tsubaki,PROJECTS/GS-KOREAN-TO-POCKET-MONSTERS/CONVERTED/...,Normalized production resource
insertion_data,Tsubaki,PROJECTS/GS-KOREAN-TO-POCKET-MONSTERS/IMPLEMENTATION/<TARGET-ID>/...,Target-specific tables; relocated text; pointer maps; generated insertion data
patch,Tsubaki,PROJECTS/GS-KOREAN-TO-POCKET-MONSTERS/PATCHES/<TARGET-ID>/...,Distributable patch only; never a full ROM
build_input_output,Tsubaki,PROJECTS/GS-KOREAN-TO-POCKET-MONSTERS/BUILD/<TARGET-ID>/...,Reproducible safe build resources
production_tool,Tsubaki,PROJECTS/GS-KOREAN-TO-POCKET-MONSTERS/TOOLS/...,Packers; converters; asset builders; insertion helpers
