bank_hex,all_7_identical,unique_images
00,False,7
01,False,6
02,False,6
03,False,6
04,False,6
05,False,6
06,False,6
07,False,5
08,False,6
09,False,6
0A,False,6
0B,False,6
0C,False,2
0D,False,6
0E,False,6
0F,False,6
10,False,7
11,False,7
12,False,6
13,False,6
14,False,6
15,False,6
16,False,6
17,False,6
18,False,6
19,False,6
1A,False,6
1B,False,6
1C,False,6
1D,False,6
1E,False,6
1F,False,6
20,False,6
21,False,6
22,False,6
23,False,6
24,False,6
25,False,6
26,False,6
27,False,6
28,False,6
29,False,6
2A,False,2
2B,False,2
2C,False,6
2D,False,6
2E,False,6
2F,False,6
30,True,1
31,True,1
32,False,6
33,False,6
34,False,6
35,False,2
36,False,4
37,True,1
38,False,6
39,False,6
3A,False,6
3B,True,1
3C,True,1
3D,True,1
3E,False,7
3F,False,6
40,False,6
41,False,6
42,False,6
43,False,6
44,False,6
45,False,6
46,False,6
47,False,7
48,False,2
49,False,2
4A,False,2
4B,True,1
4C,True,1
4D,False,2
4E,False,2
4F,False,2
50,False,2
51,False,2
52,False,2
53,False,2
54,False,2
55,False,2
56,False,2
57,False,2
58,False,2
59,False,2
5A,False,2
5B,False,6
5C,False,7
5D,False,6
5E,False,6
5F,False,6
60,False,6
61,False,6
62,False,6
63,False,6
64,False,6
65,False,6
66,False,6
67,False,6
68,False,6
69,False,6
6A,False,6
6B,False,6
6C,False,6
6D,False,6
6E,False,6
6F,False,6
70,False,6
71,False,6
72,False,6
73,False,6
74,False,6
75,False,5
76,False,5
77,False,6
78,False,6
79,False,5
7A,True,1
7B,False,6
7C,False,2
7D,False,6
7E,False,7
7F,False,7
