symbol,japan,usa,europe_rev1,germany,france,italy,spain
PutMemBlockHeader,0x0800292C,0x0800292C,0x08002940,0x0800293C,0x08002928,0x0800293C,0x08002928
PutFirstMemBlockHeader,0x08002948,0x08002948,0x0800295C,0x08002958,0x08002944,0x08002958,0x08002944
AllocInternal,0x0800295C,0x0800295C,0x08002970,0x0800296C,0x08002958,0x0800296C,0x08002958
FreeInternal,0x08002A08,0x08002A08,0x08002A1C,0x08002A04,0x080029F0,0x08002A04,0x080029F0
AllocZeroedInternal,0x08002AE8,0x08002AE8,0x08002AFC,0x08002A68,0x08002A54,0x08002A68,0x08002A54
CheckMemBlockInternal,0x08002B28,0x08002B28,0x08002B3C,0x08002AA8,0x08002A94,0x08002AA8,0x08002A94
InitHeap,0x08002B80,0x08002B80,0x08002B94,0x08002B00,0x08002AEC,0x08002B00,0x08002AEC
Alloc,0x08002B9C,0x08002B9C,0x08002BB0,0x08002B1C,0x08002B08,0x08002B1C,0x08002B08
AllocZeroed,0x08002BB0,0x08002BB0,0x08002BC4,0x08002B30,0x08002B1C,0x08002B30,0x08002B1C
Free,0x08002BC4,0x08002BC4,0x08002BD8,0x08002B44,0x08002B30,0x08002B44,0x08002B30
CheckMemBlock,0x08002BD8,0x08002BD8,0x08002BEC,0x08002B58,0x08002B44,0x08002B58,0x08002B44
CheckHeap,0x08002BEC,0x08002BEC,0x08002C00,0x08002B6C,0x08002B58,0x08002B6C,0x08002B58
