symbol,japan,usa,europe_rev1,germany,france,italy,spain
nullsub_8,0x08003AEC,0x08003B20,0x08003B34,0x08003AA0,0x08003A8C,0x08003AA0,0x08003A8C
InitWindows,0x08003AF0,0x08003B24,0x08003B38,0x08003AA4,0x08003A90,0x08003AA4,0x08003A90
AddWindow,0x08003CB0,0x08003CE4,0x08003CF8,0x08003C64,0x08003C50,0x08003C64,0x08003C50
RemoveWindow,0x08003E08,0x08003E3C,0x08003E50,0x08003DBC,0x08003DA8,0x08003DBC,0x08003DA8
FreeAllWindowBuffers,0x08003E98,0x08003ECC,0x08003EE0,0x08003E4C,0x08003E38,0x08003E4C,0x08003E38
CopyWindowToVram,0x08003EEC,0x08003F20,0x08003F34,0x08003EA0,0x08003E8C,0x08003EA0,0x08003E8C
PutWindowTilemap,0x08003F6C,0x08003FA0,0x08003FB4,0x08003F20,0x08003F0C,0x08003F20,0x08003F0C
PutWindowRectTilemapOverridePalette,0x08003FCC,0x08004000,0x08004014,0x08003F80,0x08003F6C,0x08003F80,0x08003F6C
ClearWindowTilemap,0x08004084,0x080040B8,0x080040CC,0x08004038,0x08004024,0x08004038,0x08004024
PutWindowRectTilemap,0x080040D4,0x08004108,0x0800411C,0x08004088,0x08004074,0x08004088,0x08004074
BlitBitmapToWindow,0x08004184,0x080041B8,0x080041CC,0x08004138,0x08004124,0x08004138,0x08004124
BlitBitmapRectToWindow,0x080041BC,0x080041F0,0x08004204,0x08004170,0x0800415C,0x08004170,0x0800415C
BlitBitmapRectToWindowWithColorKey,0x0800427C,0x080042B0,0x080042C4,0x08004230,0x0800421C,0x08004230,0x0800421C
FillWindowPixelRect,0x08004344,0x08004378,0x0800438C,0x080042F8,0x080042E4,0x080042F8,0x080042E4
CopyToWindowPixelBuffer,0x080043D0,0x08004404,0x08004418,0x08004384,0x08004370,0x08004384,0x08004370
FillWindowPixelBuffer,0x08004428,0x0800445C,0x08004470,0x080043DC,0x080043C8,0x080043DC,0x080043C8
ScrollWindow,0x08004474,0x080044A8,0x080044BC,0x08004428,0x08004414,0x08004428,0x08004414
CallWindowFunction,0x08004838,0x0800486C,0x08004880,0x080047EC,0x080047D8,0x080047EC,0x080047D8
SetWindowAttribute,0x08004888,0x080048BC,0x080048D0,0x0800483C,0x08004828,0x0800483C,0x08004828
GetWindowAttribute,0x0800491C,0x08004950,0x08004964,0x080048D0,0x080048BC,0x080048D0,0x080048BC
GetNumActiveWindowsOnBg,0x08004A00,0x08004A34,0x08004A48,0x080049B4,0x080049A0,0x080049B4,0x080049A0
