symbol,japan,usa,europe_rev1,germany,france,italy,spain
SetFontsPointer,0x08002C1C,0x08002C1C,0x08002C30,0x08002B9C,0x08002B88,0x08002B9C,0x08002B88
DeactivateAllTextPrinters,0x08002C28,0x08002C28,0x08002C3C,0x08002BA8,0x08002B94,0x08002BA8,0x08002B94
AddTextPrinterParameterized,0x08002C44,0x08002C48,0x08002C5C,0x08002BC8,0x08002BB4,0x08002BC8,0x08002BB4
AddTextPrinter,0x08002CF0,0x08002CF4,0x08002D08,0x08002C74,0x08002C60,0x08002C74,0x08002C60
RunTextPrinters,0x08002DD0,0x08002DE8,0x08002DFC,0x08002D68,0x08002D54,0x08002D68,0x08002D54
IsTextPrinterActive,0x08002E3C,0x08002E64,0x08002E78,0x08002DE4,0x08002DD0,0x08002DE4,0x08002DD0
RenderFont,0x08002E4C,0x08002E7C,0x08002E90,0x08002DFC,0x08002DE8,0x08002DFC,0x08002DE8
GenerateFontHalfRowLookupTable,0x08002E78,0x08002EA8,0x08002EBC,0x08002E28,0x08002E14,0x08002E28,0x08002E14
SaveTextColors,0x08002F2C,0x08002F5C,0x08002F70,0x08002EDC,0x08002EC8,0x08002EDC,0x08002EC8
RestoreTextColors,0x08002F4C,0x08002F7C,0x08002F90,0x08002EFC,0x08002EE8,0x08002EFC,0x08002EE8
DecompressGlyphTile,0x08002F5C,0x08002F8C,0x08002FA0,0x08002F0C,0x08002EF8,0x08002F0C,0x08002EF8
GetLastTextColor,0x08002F9C,0x08002FCC,0x08002FE0,0x08002F4C,0x08002F38,0x08002F4C,0x08002F38
CopyGlyphToWindow,0x08002FE4,0x08003014,0x08003028,0x08002F94,0x08002F80,0x08002F94,0x08002F80
CopyGlyphToWindow_Parameterized,0x080035E4,0x08003614,0x08003628,0x08003594,0x08003580,0x08003594,0x08003580
ClearTextSpan,,0x08003B1C,0x08003B30,0x08003A9C,0x08003A88,0x08003A9C,0x08003A88
