ID,Event / System,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class,Evidence
PH11-001,Persistent story state vs recurring scheduler state,Gen II already separates permanent story flags from phone/daily/weekly state.,"Crystal exposes this separation clearly through daily flags, weekday flags, phone-rematch flags and one-time event flags.","HGSS expands the model with persistent phonebook/rematch state, daily flags, RTC checks and postgame unlocks.","Never reuse one-shot story-completion flags as recurring-event availability. Create permanent, daily, weekly, scheduled and per-cycle namespaces.",state architecture,pokecrystal engine flags/phone scripts; pokeheartgold RTC/daily/phone code
PH11-002,Gen II ordinary trainer phone rematches,Gold/Silver already support phone contacts and recurring trainer rematch requests.,Crystal retains and expands the phone/rematch system with per-trainer weekday/time flags and stronger repeat teams.,HGSS keeps ordinary phone trainers while adding Gym Leader phone rematches as a separate class.,Preserve all Gen II ordinary phone trainers and their calls; Gym Leader rematches are additive rather than replacements.,legacy recurring system,pret/pokegold engine/phone/scripts/trainers.asm; pret/pokecrystal engine/phone/scripts/*
PH11-003,Phone trainer weekday/time examples,Gen II uses scheduled calls/events.,"Audited examples include Joey Monday afternoon, Liz Thursday afternoon, Wade Tuesday night, Jack Monday morning, Chad Friday morning and others.",HGSS phonebook entries likewise store a rematch weekday/time-of-day per contact.,"Represent schedule as data, not hard-coded map scripts.",data-driven scheduler,pokecrystal phone scripts; pokeheartgold files/tel/pmtel_book.json
PH11-004,Phone gifts / non-battle calls,"Phone contacts can provide more than battles, including item/news calls depending on trainer.","Crystal preserves gifts, swarm/news calls and dialogue variations.","HGSS phonebook records include trainer, map, gift and script metadata in the contact table.","Phone contact records must support battle, gift, news, story and generic-call behaviors independently.",phone-system preservation,pokeheartgold pmtel_book.json; Gen II phone scripts
PH11-005,Gym Leader phone subsystem,No 16-Leader Fighting Dojo rematch system.,No HGSS-style 16-Leader dojo system.,All 16 Gym Leaders share the Gym Leader phone script family and can be scheduled for Saffron Fighting Dojo rematches.,Add as an HGSS subsystem without changing original badge/rematch content.,HGSS system expansion,pokeheartgold phone_scripts_gym_leader.c; scr_seq_0832_T11R0101.s
PH11-006,Gym Leader rematch global requirement,Not applicable.,Not applicable.,Outgoing Gym Leader rematch scheduling checks `PlayerProfile_CountBadges >= 16`.,"Use semantic `ALL_16_BADGES_OBTAINED`; phone number registration may happen earlier, but scheduling a dojo rematch requires the verified 16-badge condition.",HGSS progression gate,pokeheartgold phone_scripts_gym_leader.c
PH11-007,Gym Leader rematch state layers,Not applicable.,Not applicable.,"Phone registration, valid call window, persistent seeking/rematch reservation, dojo presence and battle resolution are separate operations.","Use separate states: `PHONE_REGISTERED`, `REMATCH_WINDOW_VALID`, `REMATCH_SEEKING`, `DOJO_PRESENT`, `REMATCH_RESOLVED_THIS_BOOKING`.",save/state architecture,pokeheartgold phone_scripts_gym_leader.c; scr_seq_0832_T11R0101.s
PH11-008,Fighting Dojo leader dispatch,No all-Leader rematch hub.,No all-Leader rematch hub.,Dojo script checks each of the 16 leader contact-rematch states and exposes the corresponding leader object.,Build a data-driven leader roster rather than 16 unrelated story flags.,HGSS facility,pokeheartgold scr_seq_0832_T11R0101.s
PH11-009,Fighting Dojo rematch teams,Original Gym Leader teams remain the source-era records.,Crystal retains source-era leader teams.,Dojo battles use each leader's stronger `*_2` trainer record.,Store first-battle and dojo-rematch trainer IDs separately; never mutate the original Gym battle record after a rematch is scheduled.,trainer data expansion,pokeheartgold scr_seq_0832_T11R0101.s; trainer data
PH11-010,Fighting Dojo rematch victory,Not applicable.,Not applicable.,Winning clears the persistent seeking/rematch state and hides that leader from the dojo.,Clearing a booking must not unregister the phone number or erase prior Gym victory.,recurring-state lifecycle,pokeheartgold scr_seq_0832_T11R0101.s
PH11-011,Fighting Dojo rematch loss,Standard trainer whiteout semantics.,Same.,Leader rematch loss calls WhiteOut; the booking must remain recoverable for another attempt.,Regression-test whiteout so `REMATCH_SEEKING` is not accidentally consumed.,boundary condition,pokeheartgold scr_seq_0832_T11R0101.s
PH11-012,Apparent Fighting Dojo capacity bug,Not applicable.,Not applicable.,`isDojoFull()` contains all 16 leader contacts but loops only once (`i < 1`) before testing `count < 5`; decomp source explicitly flags the suspicious implementation.,Document original HGSS behavior. Project correction candidate: iterate all 16 and enforce the apparent five-booking capacity only if later validation confirms that intent; do not silently present the correction as original behavior.,verified code defect / intent uncertain,pokeheartgold phone_scripts_gym_leader.c
