category,index_zero_based,index_one_based,original_gs_korean,latest_official_korean,final_korean,official_source,verification_status,change_reason,bank_hex,cpu_address_hex
ITEM_NAMES,0,1,마스터볼,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4000
ITEM_NAMES,1,2,하이퍼볼,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4009
ITEM_NAMES,2,3,반짝가루,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4012
ITEM_NAMES,3,4,수퍼볼,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x401B
ITEM_NAMES,4,5,몬스터볼,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4022
ITEM_NAMES,5,6,?,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x402B
ITEM_NAMES,6,7,자전거,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x402E
ITEM_NAMES,7,8,달맞이 돌,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4035
ITEM_NAMES,8,9,해독제,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x403F
ITEM_NAMES,9,10,화상 치료제,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4046
ITEM_NAMES,10,11,얼음상태 치료제,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4052
ITEM_NAMES,11,12,잠깨는 약,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4062
ITEM_NAMES,12,13,마비 치료제,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x406C
ITEM_NAMES,13,14,회복약,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4078
ITEM_NAMES,14,15,풀 회복약,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x407F
ITEM_NAMES,15,16,고급 상처약,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4089
ITEM_NAMES,16,17,좋은 상처약,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4095
ITEM_NAMES,17,18,상처약,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x40A1
ITEM_NAMES,18,19,동굴탈출 로프,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x40A8
ITEM_NAMES,19,20,벌레회피스프레이,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x40B6
ITEM_NAMES,20,21,PP 맥스,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x40C7
ITEM_NAMES,21,22,불꽃의 돌,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x40CF
ITEM_NAMES,22,23,천둥의 돌,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x40D9
ITEM_NAMES,23,24,물의 돌,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x40E3
ITEM_NAMES,24,25,?,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x40EB
ITEM_NAMES,25,26,맥스 업,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x40EE
ITEM_NAMES,26,27,타우린,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x40F6
ITEM_NAMES,27,28,사포닌,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x40FD
ITEM_NAMES,28,29,알칼로이드,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4104
ITEM_NAMES,29,30,럭키 펀치,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x410F
ITEM_NAMES,30,31,리보플라빈,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4119
ITEM_NAMES,31,32,이상한 사탕,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4124
ITEM_NAMES,32,33,잘-맞히기,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4130
ITEM_NAMES,33,34,잎사귀 돌,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x413B
ITEM_NAMES,34,35,금속 파우더,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4145
ITEM_NAMES,35,36,금구슬,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4151
ITEM_NAMES,36,37,삐삐인형,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4158
ITEM_NAMES,37,38,만병통치제,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4161
ITEM_NAMES,38,39,기력의 조각,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x416C
ITEM_NAMES,39,40,기력의 덩어리,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4178
ITEM_NAMES,40,41,이펙트 가드,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4186
ITEM_NAMES,41,42,실버 스프레이,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4192
ITEM_NAMES,42,43,골드 스프레이,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x41A0
ITEM_NAMES,43,44,크리티컬 커터,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x41AE
ITEM_NAMES,44,45,?,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x41BC
ITEM_NAMES,45,46,맛있는 물,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x41BF
ITEM_NAMES,46,47,미네랄 사이다,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x41C9
ITEM_NAMES,47,48,후르츠 밀크,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x41D7
ITEM_NAMES,48,49,플러스파워,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x41E3
ITEM_NAMES,49,50,?,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x41EE
ITEM_NAMES,50,51,디펜드 업,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x41F1
ITEM_NAMES,51,52,스피드 업,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x41FB
ITEM_NAMES,52,53,스페셜 업,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4205
ITEM_NAMES,53,54,동전 케이스,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x420F
ITEM_NAMES,54,55,다우징 머신,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x421B
ITEM_NAMES,55,56,?,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4227
ITEM_NAMES,56,57,학습장치,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x422A
ITEM_NAMES,57,58,낡은 낚싯대,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4233
ITEM_NAMES,58,59,좋은 낚싯대,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x423F
ITEM_NAMES,59,60,은빛 나뭇잎,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x424B
ITEM_NAMES,60,61,대단한 낚싯대,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4257
ITEM_NAMES,61,62,포인트 업,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4265
ITEM_NAMES,62,63,PP 에이드,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x426F
ITEM_NAMES,63,64,PP 회복,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4279
ITEM_NAMES,64,65,PP 에이더,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4281
ITEM_NAMES,65,66,빨간 비늘,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x428B
ITEM_NAMES,66,67,비전 신약,,,,PENDING_OFFICIAL_CROSSCHECK,,0x6C,0x4295
