class_id_decimal,class_id_hex,internal_class_id,original_gs_korean,final_korean,name_changed,change_category,verification_status,direct_first_party_source_verified,original_encoded_length_bytes,final_encoded_length_bytes,record_byte_delta_with_terminator,original_display_tiles,final_display_tiles,final_encoded_hex,bank_hex,cpu_address_hex,file_offset_hex,original_raw_hex,usage_note
1,0x01,FALKNER,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x49A1,0x1B09A1,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
2,0x02,WHITNEY,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x49AD,0x1B09AD,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
3,0x03,BUGSY,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x49B9,0x1B09B9,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
4,0x04,MORTY,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x49C5,0x1B09C5,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
5,0x05,PRYCE,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x49D1,0x1B09D1,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
6,0x06,JASMINE,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x49DD,0x1B09DD,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
7,0x07,CHUCK,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x49E9,0x1B09E9,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
8,0x08,CLAIR,체육관 관장,체육관 관장,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,11,11,0,6,6,08 bc 07 80 01 6c 7f 01 6c 07 b5,0x6C,0x49F5,0x1B09F5,08 bc 07 80 01 6c 7f 01 6c 07 b5,ACTIVE_CLASS_SLOT
9,0x09,RIVAL1,라이벌,라이벌,False,UNCHANGED,LEGACY_OFFICIAL_RETAINED_NO_NEWER_GAME_TEXT,False,6,6,0,3,3,03 c3 07 9c 04 fa,0x6C,0x4A01,0x1B0A01,03 c3 07 9c 04 fa,ACTIVE_CLASS_SLOT
10,0x0A,POKEMON_PROF,포켓몬박사,포켓몬 박사,True,ORTHOGRAPHY_AND_CURRENT_NAME,CURRENT_LOCALIZATION_CORPUS,False,10,11,1,5,6,0a 27 09 2f 04 93 7f 04 da 05 b7,0x6C,0x4A08,0x1B0A08,0a 27 09 2f 04 93 04 da 05 b7,ACTIVE_CLASS_SLOT
11,0x0B,WILL,사천왕,사천왕,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,6,6,0,3,3,05 b7 08 b5 07 35,0x6C,0x4A13,0x1B0A13,05 b7 08 b5 07 35,ACTIVE_CLASS_SLOT
12,0x0C,CAL,포켓몬 트레이너,포켓몬 트레이너,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,15,15,0,8,8,0a 27 09 2f 04 93 7f 09 de 03 e9 07 9c 02 6a,0x6C,0x4A1A,0x1B0A1A,0a 27 09 2f 04 93 7f 09 de 03 e9 07 9c 02 6a,ACTIVE_CLASS_SLOT
13,0x0D,BRUNO,사천왕,사천왕,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,6,6,0,3,3,05 b7 08 b5 07 35,0x6C,0x4A2A,0x1B0A2A,05 b7 08 b5 07 35,ACTIVE_CLASS_SLOT
14,0x0E,KAREN,사천왕,사천왕,False,UNCHANGED,CURRENT_LOCALIZATION_CORPUS,False,6,6,0,3,3,05 b7 08 b5 07 35,0x6C,0x4A31,0x1B0A31,05 b7 08 b5 07 35,ACTIVE_CLASS_SLOT
