bank_hex,rom_codes,rom_count,sha256
0x1B,DE+EN+ES+FR+IT+JP,6,467f81554dc60b70c05127425e915d4f727b303ea88caa4e988b7dbfaeb4dc8e
0x2D,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x2E,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x2F,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x30,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x31,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x32,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x33,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x34,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x35,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x36,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x37,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x38,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x39,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x3A,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x3B,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x3C,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x3D,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x3E,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
0x3F,DE+EN+ES+FR+IT,5,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
