a,b,compared_bytes,different_bytes,same_percent,first_difference,exact_equal_bank_count,exact_equal_banks
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,524288,308811,41.098976,56,1,27
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",524288,295428,43.651581,56,1,27
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,524288,295595,43.619728,56,1,27
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,Pokemon - Version Bleue (France) (SGB Enhanced).gb,524288,308897,41.082573,56,1,27
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,524288,308036,41.246796,56,1,27
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",1048576,283051,73.006153,327,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,1048576,280172,73.280716,65,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,Pokemon - Version Bleue (France) (SGB Enhanced).gb,1048576,275774,73.700142,65,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,1048576,280512,73.248291,334,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,1048576,265135,74.714756,65,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",Pokemon - Version Bleue (France) (SGB Enhanced).gb,1048576,280224,73.275757,65,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,1048576,270592,74.194336,327,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,Pokemon - Version Bleue (France) (SGB Enhanced).gb,1048576,274027,73.866749,65,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
Pokemon - Edicion Azul (Spain) (SGB Enhanced).gb,Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,1048576,264060,74.817276,65,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
Pokemon - Version Bleue (France) (SGB Enhanced).gb,Pokemon - Versione Blu (Italy) (SGB Enhanced).gb,1048576,270164,74.235153,65,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
