filename,mon_front,mon_back,mon_palette,mon_shiny,trainer_front,trainer_front_palette,trainer_back,trainer_back_palette,icon_table,icon_indices,icon_palette,object_table,object_valid,object_palette,footprint_table
Pocket Monsters - Ruby (Japan).gba,0x1BCB60,0x1BE000,0x1BEDC0,0x1BFB80,0x1C0D48,0x1C0FE0,0x1C12F0,0x1C1308,0x391A98,0x392178,0x392330,0x3460F0,0xD5,0x34B974,0x3871C0
Pokemon - Edicion Rubi (Spain) (Rev 1).gba,0x1ED074,0x1EE514,0x1EF2D4,0x1F0094,0x1F125C,0x1F14F4,0x1F1804,0x1F181C,0x3BFD84,0x3C0464,0x3C061C,0x3711E8,0xD5,0x376D14,0x3B8F48
Pokemon - Edicion Rubi (Spain).gba,0x1ED074,0x1EE514,0x1EF2D4,0x1F0094,0x1F125C,0x1F14F4,0x1F1804,0x1F181C,0x3BFD84,0x3C0464,0x3C061C,0x3711E8,0xD5,0x376D14,0x3B8F48
Pokemon - Rubin-Edition (Germany) (Debug Version).gba,0x20E024,0x20F4C4,0x210284,0x211044,0x21220C,0x2124A4,0x2127B4,0x2127CC,0x3E62F4,0x3E69D4,0x3E6B8C,0x3925E0,0xD5,0x39810C,0x3DF470
Pokemon - Rubin-Edition (Germany) (Rev 1).gba,0x1F52D0,0x1F6770,0x1F7530,0x1F82F0,0x1F94B8,0x1F9750,0x1F9A60,0x1F9A78,0x3C7C30,0x3C8310,0x3C84C8,0x379438,0xD5,0x37EF64,0x3C0DF4
Pokemon - Rubin-Edition (Germany).gba,0x1F52D0,0x1F6770,0x1F7530,0x1F82F0,0x1F94B8,0x1F9750,0x1F9A60,0x1F9A78,0x3C7C30,0x3C8310,0x3C84C8,0x379438,0xD5,0x37EF64,0x3C0DF4
Pokemon - Ruby Version (Europe) (Rev 1).gba,0x1E836C,0x1E980C,0x1EA5CC,0x1EB38C,0x1EC554,0x1EC7EC,0x1ECAFC,0x1ECB14,0x3BBD3C,0x3BC41C,0x3BC5D4,0x36DC68,0xD5,0x373794,0x3B4F00
Pokemon - Ruby Version (USA).gba,0x1E8354,0x1E97F4,0x1EA5B4,0x1EB374,0x1EC53C,0x1EC7D4,0x1ECAE4,0x1ECAFC,0x3BBD20,0x3BC400,0x3BC5B8,0x36DC50,0xD5,0x37377C,0x3B4EE4
"Pokemon - Ruby Version (USA, Europe) (Rev 2).gba",0x1E836C,0x1E980C,0x1EA5CC,0x1EB38C,0x1EC554,0x1EC7EC,0x1ECAFC,0x1ECB14,0x3BBD3C,0x3BC41C,0x3BC5D4,0x36DC68,0xD5,0x373794,0x3B4F00
Pokemon - Version Rubis (France) (Rev 1).gba,0x1F075C,0x1F1BFC,0x1F29BC,0x1F377C,0x1F4944,0x1F4BDC,0x1F4EEC,0x1F4F04,0x3C3704,0x3C3DE4,0x3C3F9C,0x3748B4,0xD5,0x37A3E0,0x3BC8C8
Pokemon - Version Rubis (France).gba,0x1F075C,0x1F1BFC,0x1F29BC,0x1F377C,0x1F4944,0x1F4BDC,0x1F4EEC,0x1F4F04,0x3C3704,0x3C3DE4,0x3C3F9C,0x3748B4,0xD5,0x37A3E0,0x3BC8C8
Pokemon - Versione Rubino (Italy) (Rev 1).gba,0x1E9FF0,0x1EB490,0x1EC250,0x1ED010,0x1EE1D8,0x1EE470,0x1EE780,0x1EE798,0x3BC974,0x3BD054,0x3BD20C,0x36E140,0xD5,0x373C6C,0x3B5B38
Pokemon - Versione Rubino (Italy).gba,0x1E9FF0,0x1EB490,0x1EC250,0x1ED010,0x1EE1D8,0x1EE470,0x1EE780,0x1EE798,0x3BC974,0x3BD054,0x3BD20C,0x36E140,0xD5,0x373C6C,0x3B5B38
