release_id,bank_hex,sha256,all_zero
BXTJ-HV0,00,c99332e2388b4fcac8c39309b5d00cbf843e0c2612d8f710a4ac6ab7ae6eb9b7,False
BXTJ-HV0,01,2dd387423613cd3c25f2fc0d1660dc659bda9edfc1cb0c065ba6e3b0c6afe3bd,False
BXTJ-HV0,02,3f742330705b98f8940552156e478bd2497e00ef941a454bd927d6a13f5a3f87,False
BXTJ-HV0,03,e4d54c0bc0e39a698793ec1dcb4faf62b3bb258945853555356f376bcbce394b,False
BXTJ-HV0,04,717cd0eda015284c0414846366378704bd7e2c25fc40182998209936225b1719,False
BXTJ-HV0,05,0d50c835ea717fac38dd31a947a013a38019048889462c378320a0a8f2d4a827,False
BXTJ-HV0,06,44e3e3e993424c24f22afab28d1730a251e010dc2928190306f92dda7a1db6a0,False
BXTJ-HV0,07,2834d7c117a88f51bad8102eddb8d2ddf485ff08841ed0a378e0326087b326dd,False
BXTJ-HV0,08,c0aaf6d611915cf458a02c44b0d62680e8912ff979754c2453c4915b71f36c3e,False
BXTJ-HV0,09,b5f90b36d1fc43bc891a7c7ea111b4cfa356b34edb07c87e19df03dd35c00a24,False
BXTJ-HV0,0A,6307c41141ff66d1646702253d466ae6bd3cda1f013141103584903e3600511e,False
BXTJ-HV0,0B,017f17a521cfe093c37fb674109430539689141cd3fdef23e1ef6f69be2b9368,False
BXTJ-HV0,0C,35f3e0203f5744a0ceddffbbbf5f2481d21a62a1a0c3d7bb89c88c2ffb41656f,False
BXTJ-HV0,0D,b20f36e16f8b14dc62341e403891a72d7ced4abc5399c096b9e270f2f63f211a,False
BXTJ-HV0,0E,8a1b19b02a68c96f784d73a6f4dc83917dc6d7dbdd3507d75dc7b0d54c97df5b,False
BXTJ-HV0,0F,d9b1646a6b84ba90dc66e675d041ccab91dd21af06cfc9a5ddd6e820a1cf05b5,False
BXTJ-HV0,10,d50f4ac9ae11c72c478d7f17d9c01853b295293922608335ba954ad5fb8ca51f,False
BXTJ-HV0,11,c4915bf56af6d36c3371426372f989f718b2548af066a6f202402444151667c7,False
BXTJ-HV0,12,1821bb726f50da25503301bd4c0b0ed1ed3c31d059a118a9ddbd2a8c8f62b47d,False
BXTJ-HV0,13,98fd39416d4226d3946b53d7e02964927d59225e881091cf61981030abc9cc8d,False
BXTJ-HV0,14,9b842421122f44223054105c43321064f11161f492af3666deabcb31e2f56d76,False
BXTJ-HV0,15,bdfc2e4001a48c1973162d43b087d4a3687230b9be34a96d7d911c8c968c314a,False
BXTJ-HV0,16,d77430cc0fe29828668ea4f4b6ef80b509d20edb33b244ae133bf6a2d78e8894,False
BXTJ-HV0,17,6d796322c39b2d4f571b81211cb4c66aa404bc7096f6d3d1c9c9dd0655431ac5,False
BXTJ-HV0,18,9d0d589db6b6ac18f89a0fb9c5329e3797f175d7640430540227999ee30fb338,False
BXTJ-HV0,19,8bd20a1cd065f44cbc2da6cfab15f73084140678f920d77056cce605d74e52d9,False
BXTJ-HV0,1A,2fed261c0fd4ba40d10e7f74495867166314e69568928830663bd46308a74f5d,False
BXTJ-HV0,1B,d38c66b3e3460376665d0811566915942db87a058d87c03bebae9d23070011cf,False
BXTJ-HV0,1C,e247a41e8a158dcb2f89f4076640cc6371051add90869752494ae5b78cc23f9e,False
BXTJ-HV0,1D,1ecb54f4ad665a26c4ccfa00575477059476381a92bf4bd8bd9657b325616371,False
BXTJ-HV0,1E,d1d294bdaf5bf49b9dd455367f45bf98ada35c982471f1fbc60bb76014ca31a4,False
BXTJ-HV0,1F,c6333a142287857872df803627497254f25f6f0549fdd912cc684c5106d60058,False
BXTJ-HV0,20,0204163df81d261905b4d610b854bef928c40d23238e9ecaa41bcb709d00b10e,False
BXTJ-HV0,21,ef2a5474c8558235b2605376872855885563dd6903940f34e5bc6b54234edba4,False
BXTJ-HV0,22,08c496312a84dd04c68f759da05523b73ad39b07abbf0385fa8e110a9a079085,False
BXTJ-HV0,23,72be410c906eb2e8d827f86fceaa4eca63f695c0aaa50449f73b9459b9c521ce,False
BXTJ-HV0,24,c7096e68f23a62d669e3505c5f290d02f16d4482555ef968a421455295717a82,False
BXTJ-HV0,25,7797d8f99385d46a625fa6af1c16c972e60bf7e82e6316c81b9c13c065d13df2,False
BXTJ-HV0,26,559e2dd6e4fed1c3359462fcb10fd9665157ab4f8e56fe58635727ec55130027,False
BXTJ-HV0,27,7ceea9db0dd087613733728e1f8c1438ac55048b30836096d0b036a6d9443f44,False
BXTJ-HV0,28,f4799bc250d7e2c285c9429c2832300d20ca6366be28315230d2c180dd2a6b4d,False
BXTJ-HV0,29,495337d0e13eb5b08249c0f8ae4d749328164c097946f089e2e7933ecb21eac5,False
BXTJ-HV0,2A,1d01f82d4da22988e90d07a45b8f1be80ea49af7c3d48d23692b9551945f89ef,False
BXTJ-HV0,2B,3851d3dcac667148206695cdf3bc347e4f7f3803d21d89c5eef8dceabcf509e2,False
BXTJ-HV0,2C,65f80f17ff851238e6ec38595454b270665affb5ad95cb1d6d2b3ce86b3105f7,False
BXTJ-HV0,2D,6dd50491e7b4e5da3cac50dc7b08d9fa84fc1dfc86663a6644668dd001deaf77,False
BXTJ-HV0,2E,453f8061cad3a807e6bb2e5bb9fec72af1abe38802330c99ee1652546254825e,False
BXTJ-HV0,2F,4ed354867580e411dbd18c4d17de70481ae05524978b0c068340e0675981cc9d,False
BXTJ-HV0,30,4a4bf9ecbb1b7a8fc36687f4d3a7428464d12353c17c27f096fa5e6bd2229ef5,False
BXTJ-HV0,31,452225fad9ff54a1c7b1661e369bb4b8b5a182e84274f8dce09857654858e1f4,False
BXTJ-HV0,32,ccc0600750738cdaf0e2c71613e7651764493629059fb86060d209715514b9ff,False
BXTJ-HV0,33,86f3f89d1606e370e7456199a737630079c61ee8f5ea2960ab9610925144111b,False
BXTJ-HV0,34,4c11172e365fac0255ff29f4dc21d34067884f7060baafca13a078a3fb8cc60b,False
BXTJ-HV0,35,5930a03a8c9fa8e1797d79621d1153e5614046902e87703554f0501ca2a35884,False
BXTJ-HV0,36,c2919c38a33b317060379a7c26c75dc14a0a25364083c2bed81773dca0723047,False
BXTJ-HV0,37,97d67352fc6dcb4c33251618b77cae0cb036eca210a2f5f1fcac42e0dd8f4864,False
BXTJ-HV0,38,e71bdd3c29a725725b103c1328e41cbb48a41e6832377a27070154086c66d1c0,False
BXTJ-HV0,39,68b58b573743855f3250ba693872757d27e995036db8f312f791a23d5a4b325a,False
BXTJ-HV0,3A,d7dc4b0b4e51efba60a37d3056ef34573440e32a1db05875ee14978192fc57be,False
BXTJ-HV0,3B,68e6906258ba11cae661dadce943da3fa017c9cf71e3a30ab25d0add58968a68,False
BXTJ-HV0,3C,1b3ec4cd75ed1cd4880083bf621b08e3b52fc4181dc3723c02cc749afae67449,False
BXTJ-HV0,3D,c949b705d2cfbb923ff2af60f19fd9c47452f1e654c0ac56bb35e7429c9ad6ed,False
BXTJ-HV0,3E,0f66a6fd4b82c6d0f8ea54a6ddc0f228851079b14dcb597d73f151d12951c802,False
BXTJ-HV0,3F,84b441c39252790ea945571777d4f471132754016660aed7a9aa32cbc82f8db2,False
BXTJ-HV0,40,cf5c98ac8303047435db8b2a38ad627e17890ce3329ea6836ca7387f91115134,False
BXTJ-HV0,41,35a88ad2516731438f6109a49638457749622f057a87cce5f30edfd09a66a66d,False
BXTJ-HV0,42,b36347ab78655d785d50ad9d82b83163aa51aa26506331392515a96117388f82,False
BXTJ-HV0,43,93351d2b7ed66a182460242673211430a63a58e5780d307f220b14abbfe96d2e,False
BXTJ-HV0,44,dca0c06ccf6089135b1ca6a35bd0bde502613c8b2350c057b366b532275e51a2,False
BXTJ-HV0,45,9e1eaf2016bf868f41315a13623539274929e220824f20ac7a886a106c255522,False
BXTJ-HV0,46,2f8b832bcd7c567947eb7fe4efe8b5dc7a905beacbdb0bc25c8488fb6c890b0b,False
BXTJ-HV0,47,d1b703740152e9cb5949447284fd07508accae45ae12e80ccb36838a38824559,False
BXTJ-HV0,48,74aef84f247209f684de316de9d81a72e272a5784170131612dd9eb99ed78a9f,False
BXTJ-HV0,49,b94187e60da7f8bf0c993052bc54d7c75eca5765a2211bff4133f7d255d3935e,False
BXTJ-HV0,4A,81140f2d3084f60507a50a770e06ad2d50e9bfe6db31fa2136e87eb1753734eb,False
BXTJ-HV0,4B,956f1c95be44f7a40d6df205a5f6afba408c310c3d02ddf8d88e0b071fac6e2c,False
