bank,offset_start,sha1,entropy_bits_per_byte,count_00,count_ff,unique_byte_values
00,0x000000,5c50c205d61da12784a5aa0fa9014e0318517326,7.148892969,364,260,256
01,0x004000,34690d3cfb7abacfd770c52d76dd3955c082a4f5,7.254003098,583,82,256
02,0x008000,d348c7b86ddd36c2d45fef78a5fae97367df865d,6.978918632,379,257,255
03,0x00C000,6deff8266de605d8562cbdbf67b8921f2cb4e029,7.349282159,395,262,256
04,0x010000,d99683eb102a738e08163e11c4bf7bd444a49550,6.778047164,2173,310,256
05,0x014000,ac4181a6e38c3372d9842c338d86ea74694a4305,6.302340500,804,178,255
06,0x018000,01b06cb8ccb9110b631543af06ffc727a82035e4,7.250022915,367,166,256
07,0x01C000,f201f3741860acac72069bd9e27d18a0b1b12eda,7.184923476,370,217,255
08,0x020000,de9a604ae943e89bdd9e74e33f3c8d6f167d9be1,7.059168396,309,287,256
09,0x024000,314b4e40615342e72ace9e1d44878cce518070e2,7.808879742,13,288,256
0A,0x028000,5370045e0ff523d9102dae4753a4e1135657172f,7.840145514,11,283,255
0B,0x02C000,07efe0e7a4b5df67fbd877d9a23265b56f840169,7.836844219,203,299,256
0C,0x030000,26eadb4795517d29936489d446962e23d0ffa437,7.819980266,10,334,256
0D,0x034000,1225b1bb261614c8dfffc27611148b57471ed4de,7.803008061,250,549,256
0E,0x038000,6f9a7d65eef81c77d8344056ac265a806fc9e597,7.145405138,2018,372,256
0F,0x03C000,29766acd4191e6ce6f1467513168cd847bff8ccd,7.080827974,292,68,256
10,0x040000,d6880c1bfde1eb5543a9deaa333648a3c2331636,6.969505108,1260,436,256
11,0x044000,e27bf15c20ac626b708a622f3a970920b38f3766,7.196891680,356,333,256
12,0x048000,e8faafcf931045513e2210b0565435e1f7f96d8f,7.127930295,397,209,256
13,0x04C000,a39b3e680a40e3b74d37c1692fa847bdbce19d21,7.835870620,35,325,256
14,0x050000,6e57a9e5726fa5b3252cf321c416ff1bb3456fd9,7.294474613,349,169,256
15,0x054000,ef7edd451a6eeee4b6e41f6f932ae9990864663c,7.139840826,408,127,255
16,0x058000,50b3d96ef2acc522863c3cfba9c8055bbc5ade04,7.160631961,403,130,255
17,0x05C000,7cc73d86eec3d2371f13bac2869f8c365060bab6,7.101634308,399,189,256
18,0x060000,802db7b1328a4c15c4fa712e3a446ab1e0f5b5f6,7.049473798,382,184,255
19,0x064000,b72b68391c735f3c2723fc31b02f13106cdef09f,6.508049521,1473,1584,253
1A,0x068000,a266c160f6ace3bf3c3d40aab9c24823ff965ed2,6.371074164,1044,1292,256
1B,0x06C000,682b94550690d2e4c4103fe93753ed74ab38fc72,6.201428405,1420,1810,255
1C,0x070000,4249ab5133841889a9b90b21d30edf0d62624a60,6.873593480,2113,431,256
1D,0x074000,9dae16e0708e97de2af1f24f58db67bfc176974c,7.091263225,324,170,256
1E,0x078000,19bfac7d62658a98c000d7e6d2ec699ed1ecef2b,6.782914285,2202,608,256
1F,0x07C000,ff43de20c18860e296b7ed16e5de19d2a298aa88,7.072183569,404,288,255
