slot_index_zero_based,lookup_species_byte_hex,slot_kind,national_dex_number,original_gs_korean,latest_official_korean,final_korean,name_changed,change_reason,verification_status,official_source,official_index_source,source_accessed_date,encoded_length_bytes,encoded_hex,fixed_slot_capacity_bytes,fits_fixed_slot,bank_hex,cpu_address_hex,file_offset_hex,original_raw_hex
0,0x01,NATIONAL_DEX_SPECIES,1,이상해씨,이상해씨,이상해씨,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/1,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,07 9c 05 c3 0a 78 06 be,10,True,0x6C,0x4C4A,0x1B0C4A,07 9c 05 c3 0a 78 06 be
1,0x02,NATIONAL_DEX_SPECIES,2,이상해풀,이상해풀,이상해풀,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/2,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,07 9c 05 c3 0a 78 0a 3e,10,True,0x6C,0x4C54,0x1B0C54,07 9c 05 c3 0a 78 0a 3e
2,0x03,NATIONAL_DEX_SPECIES,3,이상해꽃,이상해꽃,이상해꽃,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/3,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,07 9c 05 c3 0a 78 01 f9,10,True,0x6C,0x4C5E,0x1B0C5E,07 9c 05 c3 0a 78 01 f9
3,0x04,NATIONAL_DEX_SPECIES,4,파이리,파이리,파이리,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/6,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,09 f4 07 9c 04 3e,10,True,0x6C,0x4C68,0x1B0C68,09 f4 07 9c 04 3e
4,0x05,NATIONAL_DEX_SPECIES,5,리자드,리자드,리자드,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/7,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,04 3e 07 aa 03 45,10,True,0x6C,0x4C72,0x1B0C72,04 3e 07 aa 03 45
5,0x06,NATIONAL_DEX_SPECIES,6,리자몽,리자몽,리자몽,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/8,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,04 3e 07 aa 04 99,10,True,0x6C,0x4C7C,0x1B0C7C,04 3e 07 aa 04 99
6,0x07,NATIONAL_DEX_SPECIES,7,꼬부기,꼬부기,꼬부기,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/12,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,01 ef 05 2e 01 b2,10,True,0x6C,0x4C86,0x1B0C86,01 ef 05 2e 01 b2
7,0x08,NATIONAL_DEX_SPECIES,8,어니부기,어니부기,어니부기,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/13,https://pokemonkorea.co.kr/pokedex,2026-09-10,8,06 ee 02 cf 05 2e 01 b2,10,True,0x6C,0x4C90,0x1B0C90,06 ee 02 cf 05 2e 01 b2
8,0x09,NATIONAL_DEX_SPECIES,9,거북왕,거북왕,거북왕,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/14,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,01 25 05 2f 07 35,10,True,0x6C,0x4C9A,0x1B0C9A,01 25 05 2f 07 35
9,0x0A,NATIONAL_DEX_SPECIES,10,캐터피,캐터피,캐터피,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/17,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,09 13 09 9d 0a 67,10,True,0x6C,0x4CA4,0x1B0CA4,09 13 09 9d 0a 67
10,0x0B,NATIONAL_DEX_SPECIES,11,단데기,단데기,단데기,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/18,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,02 dc 03 05 01 b2,10,True,0x6C,0x4CAE,0x1B0CAE,02 dc 03 05 01 b2
11,0x0C,NATIONAL_DEX_SPECIES,12,버터플,버터플,버터플,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/19,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,04 f6 09 9d 0a 63,10,True,0x6C,0x4CB8,0x1B0CB8,04 f6 09 9d 0a 63
12,0x0D,NATIONAL_DEX_SPECIES,13,뿔충이,뿔충이,뿔충이,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/21,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,05 a4 08 e6 07 9c,10,True,0x6C,0x4CC2,0x1B0CC2,05 a4 08 e6 07 9c
13,0x0E,NATIONAL_DEX_SPECIES,14,딱충이,딱충이,딱충이,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/22,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,03 6c 08 e6 07 9c,10,True,0x6C,0x4CCC,0x1B0CCC,03 6c 08 e6 07 9c
14,0x0F,NATIONAL_DEX_SPECIES,15,독침붕,독침붕,독침붕,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/23,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,03 16 09 07 05 38,10,True,0x6C,0x4CD6,0x1B0CD6,03 16 09 07 05 38
15,0x10,NATIONAL_DEX_SPECIES,16,구구,구구,구구,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/25,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,01 88 01 88,10,True,0x6C,0x4CE0,0x1B0CE0,01 88 01 88
16,0x11,NATIONAL_DEX_SPECIES,17,피죤,피죤,피죤,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/26,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,0a 67 08 04,10,True,0x6C,0x4CEA,0x1B0CEA,0a 67 08 04
17,0x12,NATIONAL_DEX_SPECIES,18,피죤투,피죤투,피죤투,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/27,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,0a 67 08 04 09 c5,10,True,0x6C,0x4CF4,0x1B0CF4,0a 67 08 04 09 c5
18,0x13,NATIONAL_DEX_SPECIES,19,꼬렛,꼬렛,꼬렛,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/29,https://pokemonkorea.co.kr/pokedex,2026-09-10,4,01 ef 03 ef,10,True,0x6C,0x4CFE,0x1B0CFE,01 ef 03 ef
19,0x14,NATIONAL_DEX_SPECIES,20,레트라,레트라,레트라,False,,OFFICIAL_VERIFIED_CURRENT,https://pokemonkorea.co.kr/pokedex/view/31,https://pokemonkorea.co.kr/pokedex,2026-09-10,6,03 e9 09 de 03 c3,10,True,0x6C,0x4D08,0x1B0D08,03 e9 09 de 03 c3
